,tweet_lang,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_es,tweet_date
0,es,False,1440757007124877321,"Yo es que de verdad entiendo la desconfianza hacia Pfizer, pero la desconfianza a los datos APLASTANTES de la eficacia de la vacuna? Le ofenden las matemáticas. https://t.co/qoGLkfJ9VD",[],[],[],['https://t.co/qoGLkfJ9VD'],Mexico,Yo es que de verdad entiendo la desconfianza hacia Pfizer  pero la desconfianza a los datos APLASTANTES de la eficacia de la vacuna  Le ofenden las matemáticas  https   t co qoGLkfJ9VD,2021-09-22 19:00:00
1,es,False,1440743767758102540,"@Gus_tito La OMS no le bajó el pulgar, suspendieron la aprobación por motivos ajenos a la efectividad de la vacuna. Y los estudios se han hecho en Argentina, entre otros países. La vacuna funciona, usted dice que no? 
https://t.co/5LwGvWDn0s",[],[],['Gus_tito'],['https://t.co/5LwGvWDn0s'],Mexico, Gus tito La OMS no le bajó el pulgar  suspendieron la aprobación por motivos ajenos a la efectividad de la vacuna  Y los estudios se han hecho en Argentina  entre otros países  La vacuna funciona  usted dice que no  https   t co 5LwGvWDn0s,2021-09-22 18:00:00
2,es,False,1440741725371125767,"@majogm Yo tengo las dos dosis de Astra Zeneca. Toda vacuna nueva que es implementada, por fases aprobadas que tenga (esto es protocolo también, no certeza), sigue siendo experimental hasta que pueda comprobarse su eficacia y efectos en la población luego de un tiempo.",['xp'],[],['majogm'],[],Mexico, majogm Yo tengo las dos dosis de Astra Zeneca  Toda vacuna nueva que es implementada  por fases aprobadas que tenga  esto es protocolo también  no certeza   sigue siendo eerimental hasta que pueda comprobarse su eficacia y efectos en la población luego de un tiempo ,2021-09-22 18:00:00
3,es,True,1440734651224526850,Johnson &amp; Johnson asegura que la eficacia de su vacuna anticovid aumenta con dosis de refuerzo https://t.co/2hfqnxGTUv https://t.co/8KLcSafbeb https://t.co/xrww3x3eEr,[],[],[],"['https://t.co/2hfqnxGTUv', 'https://t.co/8KLcSafbeb']",Mexico,Johnson  amp  Johnson asegura que la eficacia de su vacuna anticovid aumenta con dosis de refuerzo https   t co 2hfqnxGTUv https   t co 8KLcSafbeb https   t co xrww3x3eEr,2021-09-22 18:00:00
4,es,False,1440733910241931273,"@JavierO06107249 Cualquier persona informada que se base en los datos oficiales de este país y de otros ni de lejos se pone esta vacuna que, por cierto, no es una vacuna. Si el que se la pone estuviera tan seguro de su eficacia y seguridad, pasaría olímpicamente de los no vacunados.",[],[],['JavierO06107249'],[],Mexico, JavierO06107249 Cualquier persona informada que se base en los datos oficiales de este país y de otros ni de lejos se pone esta vacuna que  por cierto  no es una vacuna  Si el que se la pone estuviera tan seguro de su eficacia y seguridad  pasaría olímpicamente de los no vacunados ,2021-09-22 18:00:00
5,es,True,1440732626067746819,Johnson &amp; Johnson asegura que la eficacia de su vacuna anticovid aumenta con dosis de refuerzo https://t.co/jH0uDIwPw9,[],[],[],['https://t.co/jH0uDIwPw9'],Mexico,Johnson  amp  Johnson asegura que la eficacia de su vacuna anticovid aumenta con dosis de refuerzo https   t co jH0uDIwPw9,2021-09-22 18:00:00
6,es,False,1440732077515673604,"@ElComandantesup ""los inspectores no habían impugnado la seguridad o eficacia de la vacuna. """,[],[],['ElComandantesup'],[],Mexico, ElComandantesup  los inspectores no habían impugnado la seguridad o eficacia de la vacuna   ,2021-09-22 18:00:00
7,es,False,1440731785860505607,"@radiomitre ""los inspectores no habían impugnado la seguridad o eficacia de la vacuna. """,[],[],['radiomitre'],[],Mexico, radiomitre  los inspectores no habían impugnado la seguridad o eficacia de la vacuna   ,2021-09-22 18:00:00
8,es,False,1440731505576144911,"@MOVSLOWARG ""los inspectores no habían impugnado la seguridad o eficacia de la vacuna. """,[],[],['MOVSLOWARG'],[],Mexico, MOVSLOWARG  los inspectores no habían impugnado la seguridad o eficacia de la vacuna   ,2021-09-22 18:00:00
9,es,False,1440731095062908940,"@esRadio @eslamananadeFJL Ha despedido Fray Josepho!!!!! Pero qué fuerte!!! Por no comulgar y cuestionar la eficacia de la vacuna!!!!! Ay Fede, qué cagada",[],[],"['esRadio', 'eslamananadeFJL']",[],Mexico, esRadio  eslamananadeFJL Ha despedido Fray Josepho      Pero qué fuerte    Por no comulgar y cuestionar la eficacia de la vacuna      Ay Fede  qué cagada,2021-09-22 18:00:00
10,es,False,1440726333898706949,@rorofutbol @gabrielalpp A lo que voy es q no se puede hablar a la ligera de la peor vacuna cuando en el país y en la región se aplican vacunas de menor eficacia a la de Sinopharm (todas aprobadas y q funcionan). Hay que ser objetivos sino se pierde credibilidad en todo ámbito. Saludos. https://t.co/7XHgeS8EeJ,[],[],"['rorofutbol', 'gabrielalpp']",[],Mexico, rorofutbol  gabrielalpp A lo que voy es q no se puede hablar a la ligera de la peor vacuna cuando en el país y en la región se aplican vacunas de menor eficacia a la de Sinopharm  todas aprobadas y q funcionan   Hay que ser objetivos sino se pierde credibilidad en todo ámbito  Saludos  https   t co 7XHgeS8EeJ,2021-09-22 17:00:00
11,es,False,1440723690413379588,pasen la dirección de sus picaportes es para un tp quiero probar la eficacia de la vacuna,[],[],[],[],Mexico,pasen la dirección de sus picaportes es para un tp quiero probar la eficacia de la vacuna,2021-09-22 17:00:00
12,es,False,1440723332316364803,"@VilelaVander @willaxtv Justamente, qué dicen los gobiernos de Europa de la vacuna Sinopharm? No la aceptan. Según la EMA, ellos sólo aceptan Pfizer,Aztrazeneca,Moderna y Johnson&amp;Johnson, pues su eficacia ha sido comprobada y sus resultados publicados en revistas científicas especializadas,ninguna otra.",[],[],"['VilelaVander', 'willaxtv']",[],Mexico, VilelaVander  willaxtv Justamente  qué dicen los gobiernos de Europa de la vacuna Sinopharm  No la aceptan  Según la EMA  ellos sólo aceptan Pfizer Aztrazeneca Moderna y Johnson amp Johnson  pues su eficacia ha sido comprobada y sus resultados publicados en revistas científicas especializadas ninguna otra ,2021-09-22 17:00:00
13,es,False,1440722500770430994,"@arthur_dv11 @gabrielalpp La vacuna China 🇨🇳 sobornó investigadores de la Cayetano por un registro ILEGAL, tiene menor eficacia, cuesta el triple, y NO vale en USA, Canadá, Alemania, Francia etc. 🤷🏽‍♂️","['🇨🇳', '🤷🏽\u200d♂️']",[],"['arthur_dv11', 'gabrielalpp']",[],Mexico, arthur dv11  gabrielalpp La vacuna China  sobornó investigadores de la Cayetano por un registro ILEGAL  tiene menor eficacia  cuesta el triple  y NO vale en USA  Canadá  Alemania  Francia etc  ,2021-09-22 17:00:00
14,es,False,1440722001337851906,"Dice AMLO que después de la CELAC hay más opciones de vacunas contra COVID.
¿Crees que la vacuna cubana Abdala sea segura y tenga una eficacia de 92% como dicen?",[],[],[],[],Mexico,Dice AMLO que después de la CELAC hay más opciones de vacunas contra COVID ¿Crees que la vacuna cubana Abdala sea segura y tenga una eficacia de 92  como dicen ,2021-09-22 17:00:00
15,es,False,1440719491353092096,"@FuegoAlado @Korrokon @PhilAMellows Y bajando por las escaleras también hay quien se abre la cabeza y palma...no por eso te tiras por la ventana.
Ninguna vacuna ni ningún medicamento es eficaz al 100%, la eficacia de estas vacunas para prevenir la muerte y la enfermedad grave supera el 90%.
No creo en cuentos",[],[],"['FuegoAlado', 'Korrokon', 'PhilAMellows']",[],Mexico, FuegoAlado  Korrokon  PhilAMellows Y bajando por las escaleras también hay quien se abre la cabeza y palma   no por eso te tiras por la ventana Ninguna vacuna ni ningún medicamento es eficaz al 100   la eficacia de estas vacunas para prevenir la muerte y la enfermedad grave supera el 90  No creo en cuentos,2021-09-22 17:00:00
16,es,False,1440713318902091781,"En EUA se han puesto 221 millones de dosis de Pfizer y 150 millones de Moderna, el NY Times reporta hoy que después de 7 estudios publicados este mes, Moderna es la mejor vacuna contra el Covid.

La eficacia de Moderna contra una hospitalización es de 92%, 15% superior a Pfizer.",[],[],[],[],Mexico,En EUA se han puesto 221 millones de dosis de Pfizer y 150 millones de Moderna  el NY Times reporta hoy que después de 7 estudios publicados este mes  Moderna es la mejor vacuna contra el Covid La eficacia de Moderna contra una hospitalización es de 92   15  superior a Pfizer ,2021-09-22 16:00:00
17,es,False,1440711759208214536,"La vacuna anticovid del laboratorio estadounidense Johnson &amp; Johnson es más eficaz cuando se administran dos dosis, según nuevos datos publicados por la empresa https://t.co/1Oj0AaPHh9 https://t.co/FemzsIOwih",[],[],[],['https://t.co/1Oj0AaPHh9'],Mexico,La vacuna anticovid del laboratorio estadounidense Johnson  amp  Johnson es más eficaz cuando se administran dos dosis  según nuevos datos publicados por la empresa https   t co 1Oj0AaPHh9 https   t co FemzsIOwih,2021-09-22 16:00:00
18,es,False,1440708948613427211,@FrayJosepho @Areswargods Hay debate o discusion sobre la eficacia o bondad de una vacuna pero no lo hay por el derecho de opinión.,[],[],"['FrayJosepho', 'Areswargods']",[],Mexico, FrayJosepho  Areswargods Hay debate o discusion sobre la eficacia o bondad de una vacuna pero no lo hay por el derecho de opinión ,2021-09-22 16:00:00
19,es,False,1440704036022276097,"@saimon25823125 @epelbaum @Gus_Noriega Te vacunas para bajar la probabilidad de enfermedad grave / mortal.
Como en todas las vacunas que existen y nos damos desde que nacemos.
Aun no hay una vacuna de covid con 100% de efectividad/eficacia.  Los maximos que se llego es 95%.",[],[],"['saimon25823125', 'epelbaum', 'Gus_Noriega']",[],Mexico, saimon25823125  epelbaum  Gus Noriega Te vacunas para bajar la probabilidad de enfermedad grave   mortal Como en todas las vacunas que existen y nos damos desde que nacemos Aun no hay una vacuna de covid con 100  de efectividad eficacia   Los maximos que se llego es 95  ,2021-09-22 16:00:00
20,es,False,1440703242879455247,"@JavierO06107249 @jdl_amieva Puede ir al historial en el q contesto a F Josepho cada una de sus dudas y la manera en q ignora cada una de esas refutaciones
Primera y principal, se retiraría cualquer vacuna qu, una vez aprobada o autorizada, no cumpliera con criterios de seguridad y eficacia Farmacovigilancia",[],[],"['JavierO06107249', 'jdl_amieva']",[],Mexico, JavierO06107249  jdl amieva Puede ir al historial en el q contesto a F Josepho cada una de sus dudas y la manera en q ignora cada una de esas refutacionesPrimera y principal  se retiraría cualquer vacuna qu  una vez aprobada o autorizada  no cumpliera con criterios de seguridad y eficacia Farmacovigilancia,2021-09-22 16:00:00
