,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_hi,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,text_en
0,hi,1440701067679780874,824922110, HajiNazimKhan1  SudarshanNewsTV  SureshChavhanke  BJP4Karnataka करिश्माई खेल कैसे हुआ है,1440906167648092161,False, HajiNazimKhan1  SudarshanNewsTV  SureshChavhanke  BJP4Karnataka करिश्माई खेल कैसे हुआ है,2021-09-23T05:09:35.000Z,India,@HajiNazimKhan1 @SudarshanNewsTV @SureshChavhanke @BJP4Karnataka करिश्माई खेल कैसे हुआ है,[],[],"['HajiNazimKhan1', 'SudarshanNewsTV', 'SureshChavhanke', 'BJP4Karnataka']",[],
1,en,1440674589307125778,1657620379, rpbreakingnews Don t let atleast our EDUCATION system ruined by selfish political agendasPls think abt students future abt deserving candidatesSTOP Fake Certification  amp  appointments ashokgehlot51 artizzzz Sos Sourabh कंप्यूटर भर्ती विज्ञप्ति जारी करो PGDCA को कंप्यूटर भर्ती से बाहर करो https   t co JNaJJbyUvS,1440696099908378630,False,,2021-09-22T15:14:51.000Z,India,"@rpbreakingnews Don't let atleast our EDUCATION system ruined by selfish political agendas
Pls think abt students future,
abt deserving candidates
STOP Fake Certification &amp; appointments
@ashokgehlot51
@artizzzz
@Sos_Sourabh

#कंप्यूटर_भर्ती_विज्ञप्ति_जारी_करो
#PGDCA_को_कंप्यूटर_भर्ती_से_बाहर_करो https://t.co/JNaJJbyUvS",[],[],['rpbreakingnews'],['https://t.co/Y0DCcB4G3E'], rpbreakingnews Don t let atleast our EDUCATION system ruined by selfish political agendasPls think abt students future abt deserving candidatesSTOP Fake Certification  amp  appointments ashokgehlot51 artizzzz Sos Sourabh कंप्यूटर भर्ती विज्ञप्ति जारी करो PGDCA को कंप्यूटर भर्ती से बाहर करो https   t co JNaJJbyUvS
2,hi,1440674589307125778,1657620379, rpbreakingnews अच्छे कर्म करते रहो दुनिया आपके बारे में क्या कहती है क्या सोचती है इस पर ध्यान मत दीजिए क्योंकि इंसान के उच्च पद की प्राप्ति का पहला मार्ग उसके द्वारा किए गए सद कार्य एवं सत्कर्म होते हैं आपका अपना भूरसिंह सी लंगेरा,1440674663672152075,False, rpbreakingnews अच्छे कर्म करते रहो दुनिया आपके बारे में क्या कहती है क्या सोचती है इस पर ध्यान मत दीजिए क्योंकि इंसान के उच्च पद की प्राप्ति का पहला मार्ग उसके द्वारा किए गए सद कार्य एवं सत्कर्म होते हैं आपका अपना भूरसिंह सी लंगेरा,2021-09-22T13:49:40.000Z,India,@rpbreakingnews अच्छे कर्म करते रहो दुनिया आपके बारे में क्या कहती है क्या सोचती है इस पर ध्यान मत दीजिए क्योंकि इंसान के उच्च पद की प्राप्ति का पहला मार्ग उसके द्वारा किए गए सद कार्य एवं सत्कर्म होते हैं आपका अपना भूरसिंह सी लंगेरा,[],[],['rpbreakingnews'],['https://t.co/uJL4WbMTr1'],
3,en,1440669712183144448,64639742, JagranNews Follow me gays Follow back confirm,1440669980505219083,False,,2021-09-22T13:31:04.000Z,India,"@JagranNews Follow me gays 
Follow back confirm",[],[],['JagranNews'],[], JagranNews Follow me gays Follow back confirm
4,hi,1440657695611121684,824922110, SudarshanNewsTV  LavaniSri एक अपने भारत के  Hindu लोग हैं जो थोड़े से पैसे के लालच में धर्म परिवर्तन कर रहे हैं  और एक अफगानिस्तान के लोग हैं इतने जुल्म सहते हैं इतने अत्याचार होते हैं उन पर  भूखे मर रहे हैं गोलियां खा रहे हैं बंदूक की  मगर मजाल है  धर्म परिवर्तन कर ले  अपने धर्म के प्रति निष्ठावान हो ,1440908438913970182,False, SudarshanNewsTV  LavaniSri एक अपने भारत के  Hindu लोग हैं जो थोड़े से पैसे के लालच में धर्म परिवर्तन कर रहे हैं  और एक अफगानिस्तान के लोग हैं इतने जुल्म सहते हैं इतने अत्याचार होते हैं उन पर  भूखे मर रहे हैं गोलियां खा रहे हैं बंदूक की  मगर मजाल है  धर्म परिवर्तन कर ले  अपने धर्म के प्रति निष्ठावान हो ,2021-09-23T05:18:37.000Z,India,"@SudarshanNewsTV @LavaniSri एक अपने भारत के #Hindu लोग हैं जो थोड़े से पैसे के लालच में धर्म परिवर्तन कर रहे हैं ,और एक अफगानिस्तान के लोग हैं इतने जुल्म सहते हैं इतने अत्याचार होते हैं उन पर, भूखे मर रहे हैं गोलियां खा रहे हैं बंदूक की, मगर मजाल है  धर्म परिवर्तन कर ले. अपने धर्म के प्रति निष्ठावान हो.",[],['Hindu'],"['SudarshanNewsTV', 'LavaniSri']",['https://t.co/HxtFlsxp0z'],
5,en,1440634728961302548,169018518, AmarUjalaNews Lajka Token   next 100x                                   European Doxxed Team  5 marketing 2 weeks old LP LOCKED for 1 year Voicechat is opened with raids SHILLING CONTEST  International adsJOIN NOW Telegram   LajkaTokenOfficial,1440653357379571717,False,,2021-09-22T12:25:01.000Z,India,"@AmarUjalaNews 🐕🚀Lajka Token🐕🚀 - next 100x 
---------------------------------
✅ European Doxxed Team
✅ %5 marketing
✅ 2 weeks old
✅ LP LOCKED for 1 year
✅ Voicechat is opened with raids
✅ SHILLING CONTEST 🏆
✅ International ads

JOIN NOW👇👇👇
👥 Telegram: @LajkaTokenOfficial","['👥', '🚀', '✅', '🐕', '👇', '🏆']",[],['AmarUjalaNews'],['https://t.co/hGEcPdHfEu'], AmarUjalaNews Lajka Token   next 100x                                   European Doxxed Team  5 marketing 2 weeks old LP LOCKED for 1 year Voicechat is opened with raids SHILLING CONTEST  International adsJOIN NOW Telegram   LajkaTokenOfficial
6,hi,1440632197162045442,4631123532, ZeeNewsSports  ZeeNews  कंप्यूटर अनुदेशक भर्ती विज्ञप्ति जारी करो  बी डी कल्ला व डोटासरा को रोको  PGDCA को कंप्यूटर भर्ती से बाहर करोमंत्री जी NCTE के नियमो के खिलाफ मत जाओ ।युवाओं के साथ अन्याय ठीक नही है।शिक्षा कोई एडजस्टमेंट का विभाग नही है।,1440633316101656585,False, ZeeNewsSports  ZeeNews  कंप्यूटर अनुदेशक भर्ती विज्ञप्ति जारी करो  बी डी कल्ला व डोटासरा को रोको  PGDCA को कंप्यूटर भर्ती से बाहर करोमंत्री जी NCTE के नियमो के खिलाफ मत जाओ ।युवाओं के साथ अन्याय ठीक नही है।शिक्षा कोई एडजस्टमेंट का विभाग नही है।,2021-09-22T11:05:22.000Z,India,"@ZeeNewsSports @ZeeNews #कंप्यूटर_अनुदेशक_भर्ती_विज्ञप्ति_जारी_करो 
#बी_डी_कल्ला_व_डोटासरा_को_रोको 
#PGDCA_को_कंप्यूटर_भर्ती_से_बाहर_करो
⛔मंत्री जी NCTE के नियमो के खिलाफ मत जाओ ।
⛔युवाओं के साथ अन्याय ठीक नही है।
⛔शिक्षा कोई एडजस्टमेंट का विभाग नही है।",['⛔'],"['कंप्यूटर_अनुदेशक_भर्ती_विज्ञप्ति_जारी_करो', 'बी_डी_कल्ला_व_डोटासरा_को_रोको']","['ZeeNewsSports', 'ZeeNews']",['https://t.co/JXe4ob6h0b'],
7,en,1440620016747966469,169018518, AmarUjalaNews Then why not in 5th test   cricketaakash,1440620268305543174,False,,2021-09-22T10:13:32.000Z,India,"@AmarUjalaNews Then why not in 5th test??
@cricketaakash",[],[],"['AmarUjalaNews', 'cricketaakash']",[], AmarUjalaNews Then why not in 5th test   cricketaakash
8,hi,1440613095034875916,67558336, iamnarendranath तब झूठे हाटस्टार का सब्सक्रिप्शन ले लिया ,1440651538859388933,False, iamnarendranath तब झूठे हाटस्टार का सब्सक्रिप्शन ले लिया ,2021-09-22T12:17:47.000Z,India,@iamnarendranath तब झूठे हाटस्टार का सब्सक्रिप्शन ले लिया 😒😒,['😒'],[],['iamnarendranath'],[],
9,en,1440531064980606979,372754427, BBCHindi  श्राद्ध क्यों न करेंNeither of our holy scriptures nor any great saint s speech certifies to do Shraadh Puja   Pind Daan   Pitar Puja To know the way to make them liberate from their Pitar Jooni must watch Sadhna TV from 7 30 PMVisit Saint Rampal Ji Maharaj YouTube Channel https   t co rCGD8nlSPW,1440531367767408644,False,,2021-09-22T04:20:16.000Z,India,"@BBCHindi #श्राद्ध_क्यों_न_करें
Neither of our holy scriptures nor any great saint's speech certifies to do Shraadh Puja / Pind Daan / Pitar Puja.
To know the way to make them liberate from their Pitar Jooni must watch Sadhna TV from 7.30 PM
Visit Saint Rampal Ji Maharaj YouTube Channel https://t.co/rCGD8nlSPW",[],['श्राद्ध_क्यों_न_करें'],['BBCHindi'],['https://t.co/LAsUHmdktY'], BBCHindi  श्राद्ध क्यों न करेंNeither of our holy scriptures nor any great saint s speech certifies to do Shraadh Puja   Pind Daan   Pitar Puja To know the way to make them liberate from their Pitar Jooni must watch Sadhna TV from 7 30 PMVisit Saint Rampal Ji Maharaj YouTube Channel https   t co rCGD8nlSPW
10,en,1440369398594736136,1161238247655108609, DPROSARAIKELA  JharkhandCMO  NHM JHARKHAND  DCseraikella Great work from the frontline workers  amp  administration team Well done the peoples of SKWe will beat it to null n void status Requesting to run a cross verification from village level to get a recount of remaining personal and drive a promotional plan for them,1440382241704583182,False,,2021-09-21T18:27:42.000Z,India,"@DPROSARAIKELA @JharkhandCMO @NHM_JHARKHAND @DCseraikella 👌❤👏
Great work from the frontline workers &amp; administration team.
Well done the peoples of SK👍
We will beat it to null-n-void status.
Requesting to run a cross verification from village level to get a recount of remaining personal and drive a promotional plan for them👍","['👏', '❤', '👌', '👍']",[],"['DPROSARAIKELA', 'JharkhandCMO', 'NHM_JHARKHAND', 'DCseraikella']",['https://t.co/7D2J5Tx0hU'], DPROSARAIKELA  JharkhandCMO  NHM JHARKHAND  DCseraikella Great work from the frontline workers  amp  administration team Well done the peoples of SKWe will beat it to null n void status Requesting to run a cross verification from village level to get a recount of remaining personal and drive a promotional plan for them
11,hi,1440364453061545992,2164575084, 1stIndiaNews sI पेपर रद्द करो22 सितम्बर को विशाल आंदोलन https   t co qzTIyfl4q2,1440365974557888525,False, 1stIndiaNews sI पेपर रद्द करो22 सितम्बर को विशाल आंदोलन https   t co qzTIyfl4q2,2021-09-21T17:23:03.000Z,India,"@1stIndiaNews sI पेपर रद्द करो
22 सितम्बर को विशाल आंदोलन https://t.co/qzTIyfl4q2",[],[],['1stIndiaNews'],[],
12,hi,1440360598240317445,3163827920, paalakmahasangh  ChouhanShivraj  schooledump  Indersinghsjp समय रहते मध्य प्रदेश सरकार जागे                   यदि बच्चों को कुछ भी हुआ तो मध्यप्रदेश सरकार ही जिम्मेदार होगी       क्योंकि निजी विद्यालयों के दबाव से स्कूल खोली गई है,1440363805347770376,False, paalakmahasangh  ChouhanShivraj  schooledump  Indersinghsjp समय रहते मध्य प्रदेश सरकार जागे                   यदि बच्चों को कुछ भी हुआ तो मध्यप्रदेश सरकार ही जिम्मेदार होगी       क्योंकि निजी विद्यालयों के दबाव से स्कूल खोली गई है,2021-09-21T17:14:26.000Z,India,@paalakmahasangh @ChouhanShivraj @schooledump @Indersinghsjp समय रहते मध्य प्रदेश सरकार जागे                   यदि बच्चों को कुछ भी हुआ तो मध्यप्रदेश सरकार ही जिम्मेदार होगी       क्योंकि निजी विद्यालयों के दबाव से स्कूल खोली गई है,[],[],"['paalakmahasangh', 'ChouhanShivraj', 'schooledump', 'Indersinghsjp']",['https://t.co/g7TyOSS23b'],
13,hi,1440337648552316945,746747969890746369, Lucknow Post जन रसोई प्रतिदिन चल रही है।आज दिनांक 21 09 21 कोभरपेट 4पूरी सब्जी  भोजन पैकेट रु11   मे वितरण के कुछ दृश्य।https   t co 0NfLWwBfcbहमारा प्रयास आपका सहयोगभूख कुपोषण रहित इन्दिरा नगर क्षेत्रलखनऊ के अन्य लोगों को जानकारी देकर सहयोग कर सकते हैं। https   t co rgajrldaxr,1440350771774558217,False, Lucknow Post जन रसोई प्रतिदिन चल रही है।आज दिनांक 21 09 21 कोभरपेट 4पूरी सब्जी  भोजन पैकेट रु11   मे वितरण के कुछ दृश्य।https   t co 0NfLWwBfcbहमारा प्रयास आपका सहयोगभूख कुपोषण रहित इन्दिरा नगर क्षेत्रलखनऊ के अन्य लोगों को जानकारी देकर सहयोग कर सकते हैं। https   t co rgajrldaxr,2021-09-21T16:22:39.000Z,India,"@Lucknow_Post जन रसोई प्रतिदिन चल रही है।
आज दिनांक 21-09-21 को
भरपेट(4पूरी-सब्जी) भोजन पैकेट रु11/- मे वितरण के कुछ दृश्य।
https://t.co/0NfLWwBfcb
हमारा-प्रयास आपका-सहयोग
भूख-कुपोषण रहित इन्दिरा नगर क्षेत्र
लखनऊ के अन्य लोगों को जानकारी देकर सहयोग कर सकते हैं। https://t.co/rgajrldaxr",[],[],['Lucknow_Post'],['https://t.co/wnm7KDNpyV'],
14,hi,1440336900141699093,1437323739889209346, VedPrkashYadav1 बहुत अच्छा वेद भाई हमे आवाज उठानी होगी   ,1440535674461900805,False, VedPrkashYadav1 बहुत अच्छा वेद भाई हमे आवाज उठानी होगी   ,2021-09-22T04:37:23.000Z,India,@VedPrkashYadav1 बहुत अच्छा वेद भाई हमे आवाज उठानी होगी !!,[],[],['VedPrkashYadav1'],[],
15,hi,1440336900141699093,1437323739889209346,कृपया संज्ञान में ले  DmSitapur,1440340326565117974,False,कृपया संज्ञान में ले  DmSitapur,2021-09-21T15:41:08.000Z,India,"कृपया संज्ञान में ले 
@DmSitapur",[],[],['DmSitapur'],[],
16,hi,1440305920228032522,980319776, ddnewsBihar  DDNewsHindi  PIB Patna  BiharHealthDept क्योंकि जाँच ही गलत हुई है,1440578927047495688,False, ddnewsBihar  DDNewsHindi  PIB Patna  BiharHealthDept क्योंकि जाँच ही गलत हुई है,2021-09-22T07:29:15.000Z,India,@ddnewsBihar @DDNewsHindi @PIB_Patna @BiharHealthDept क्योंकि जाँच ही गलत हुई है,[],[],"['ddnewsBihar', 'DDNewsHindi', 'PIB_Patna', 'BiharHealthDept']",[],
17,hi,1440184402835755008,1003886933439901696, CollecterK  comindore  healthminmp जन सुनवाही होगी किया आज,1440186584607846400,False, CollecterK  comindore  healthminmp जन सुनवाही होगी किया आज,2021-09-21T05:30:13.000Z,India,@CollecterK @comindore @healthminmp जन सुनवाही होगी किया आज,[],[],"['CollecterK', 'comindore', 'healthminmp']",[],
18,hi,1440184402835755008,1003886933439901696, CollecterK  comindore  healthminmp जय  हो,1440186261411565571,False, CollecterK  comindore  healthminmp जय  हो,2021-09-21T05:28:56.000Z,India,@CollecterK @comindore @healthminmp जय  हो,[],[],"['CollecterK', 'comindore', 'healthminmp']",[],
19,hi,1440171218271825920,372754427, BBCHindi क्या हमारा सम्मान नक्सलियों के बराबर भी नहीं cg corona warriorhttps   t co XjeCPhTa4N,1440186998463950849,False, BBCHindi क्या हमारा सम्मान नक्सलियों के बराबर भी नहीं cg corona warriorhttps   t co XjeCPhTa4N,2021-09-21T05:31:52.000Z,India,"@BBCHindi क्या हमारा सम्मान नक्सलियों के बराबर भी नहीं cg corona warrior

https://t.co/XjeCPhTa4N",[],[],['BBCHindi'],['https://t.co/XjeCPhTa4N'],
20,en,1440171218271825920,372754427, BBCHindi We are capable to handle Conoravirus ,1440179037989584899,False,,2021-09-21T05:00:14.000Z,India,@BBCHindi We are capable to handle Conoravirus.,[],[],['BBCHindi'],[], BBCHindi We are capable to handle Conoravirus 
21,hi,1440140432835416073,4453205292, bstvlive इसपर भी कुछ बोलेगी सरकार।,1440174603981115394,False, bstvlive इसपर भी कुछ बोलेगी सरकार।,2021-09-21T04:42:37.000Z,India,@bstvlive इसपर भी कुछ बोलेगी सरकार।,[],[],['bstvlive'],[],
22,en,1440140432835416073,4453205292, bstvlive There is time for elections  BJP Government should focus on Health Care immediately ,1440140812621209606,False,,2021-09-21T02:28:20.000Z,India,@bstvlive There is time for elections. BJP Government should focus on Health Care immediately.,[],[],['bstvlive'],[], bstvlive There is time for elections  BJP Government should focus on Health Care immediately 
23,hi,1439977578748538887,294480808, prabhash jha13  peeke 9589 कोरोना कही गया नही है लेकिन लोग इसके प्रोटोकोल को जानबूझकर या मजबूरी मे तोड रहा है  वैसे भी सरकारी आंकड़ा लोगो को गुमराह कर रहा है।,1440175378492919809,False, prabhash jha13  peeke 9589 कोरोना कही गया नही है लेकिन लोग इसके प्रोटोकोल को जानबूझकर या मजबूरी मे तोड रहा है  वैसे भी सरकारी आंकड़ा लोगो को गुमराह कर रहा है।,2021-09-21T04:45:42.000Z,India,"@prabhash_jha13 @peeke_9589 कोरोना कही गया नही है लेकिन लोग इसके प्रोटोकोल को जानबूझकर या मजबूरी मे तोड रहा है, वैसे भी सरकारी आंकड़ा लोगो को गुमराह कर रहा है।",[],[],"['prabhash_jha13', 'peeke_9589']",['https://t.co/QHXep9801O'],
