,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_en,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,text_hi
0,en,1440895623423672320,1386554090587516930, livemanish  True,1440896119093878786,False, livemanish  True,2021-09-23T04:29:40.000Z,India,@livemanish_ True,[],[],['livemanish_'],[],
1,hi,1440705524522123264,905377839721005056, mlachandla जय हो हरेगा कोरोना जीतेगा मध्यप्रदेश जय श्री राम,1440710046690668554,False,,2021-09-22T16:10:16.000Z,India,"@mlachandla जय हो 
हरेगा कोरोना जीतेगा मध्यप्रदेश 
जय श्री राम",[],[],['mlachandla'],[], mlachandla जय हो हरेगा कोरोना जीतेगा मध्यप्रदेश जय श्री राम
2,en,1440681624010514436,2164575084, 1stIndiaNews  drcpjoshi  INCRajasthan  RajGovOfficial  RajCMO Pharmacist exam https   t co LAQslObRs3,1440683014174904329,False, 1stIndiaNews  drcpjoshi  INCRajasthan  RajGovOfficial  RajCMO Pharmacist exam https   t co LAQslObRs3,2021-09-22T14:22:51.000Z,India,@1stIndiaNews @drcpjoshi @INCRajasthan @RajGovOfficial @RajCMO Pharmacist exam https://t.co/LAQslObRs3,[],[],"['1stIndiaNews', 'drcpjoshi', 'INCRajasthan', 'RajGovOfficial', 'RajCMO']",[],
3,hi,1440671115769049092,786151699996041218, RajGovOfficial  ashokgehlot51  GovindDotasra जी रीट भर्ती 2018 के शेष रहे अभ्यर्थियों द्वारा अपनी नियुक्ती की मांग को लेकर शिक्षा निदेशालय बीकानेर पर 70वें दिन धरना जारी है उच्च न्यायालय में पैरवी करवाकर इन्हें जल्द नियुक्ति दिलवाए REET2018 JOINING DO  Sos Sourabh https   t co QBEqLbXTIy,1440712430653300740,False,,2021-09-22T16:19:45.000Z,India,"@RajGovOfficial @ashokgehlot51 @GovindDotasra जी रीट भर्ती 2018 के शेष रहे अभ्यर्थियों द्वारा अपनी नियुक्ती की मांग को लेकर शिक्षा निदेशालय बीकानेर पर 70वें दिन धरना जारी है,उच्च न्यायालय में पैरवी करवाकर इन्हें जल्द नियुक्ति दिलवाए
#REET2018_JOINING_DO @Sos_Sourabh
 https://t.co/QBEqLbXTIy",[],[],"['RajGovOfficial', 'ashokgehlot51', 'GovindDotasra']",['https://t.co/AzYjPm0xw8'], RajGovOfficial  ashokgehlot51  GovindDotasra जी रीट भर्ती 2018 के शेष रहे अभ्यर्थियों द्वारा अपनी नियुक्ती की मांग को लेकर शिक्षा निदेशालय बीकानेर पर 70वें दिन धरना जारी है उच्च न्यायालय में पैरवी करवाकर इन्हें जल्द नियुक्ति दिलवाए REET2018 JOINING DO  Sos Sourabh https   t co QBEqLbXTIy
4,hi,1440671115769049092,786151699996041218, RajGovOfficial टीएसपी से नॉन टीएसपी के शिक्षकों का समायोजन अपने गृह जिलों में करने का कष्ट करें माननीय हम यहाँ परिवार से अलग थलग 10 से 12 सालो से टीएसपी में सेवा दे रहे हैं यहाँ के स्थानीय लोगो को भी रोजगार का अवसर मिलेगा दोनों ही आपको दुआ देंगे  ashokgehlot51  GovindDotasra  RamlalMeenaINC,1440711193392414731,False,,2021-09-22T16:14:50.000Z,India,@RajGovOfficial टीएसपी से नॉन टीएसपी के शिक्षकों का समायोजन अपने गृह जिलों में करने का कष्ट करें माननीय हम यहाँ परिवार से अलग थलग 10 से 12 सालो से टीएसपी में सेवा दे रहे हैं यहाँ के स्थानीय लोगो को भी रोजगार का अवसर मिलेगा दोनों ही आपको दुआ देंगे @ashokgehlot51 @GovindDotasra @RamlalMeenaINC,[],[],['RajGovOfficial'],['https://t.co/k4hQSVRjz5'], RajGovOfficial टीएसपी से नॉन टीएसपी के शिक्षकों का समायोजन अपने गृह जिलों में करने का कष्ट करें माननीय हम यहाँ परिवार से अलग थलग 10 से 12 सालो से टीएसपी में सेवा दे रहे हैं यहाँ के स्थानीय लोगो को भी रोजगार का अवसर मिलेगा दोनों ही आपको दुआ देंगे  ashokgehlot51  GovindDotasra  RamlalMeenaINC
5,en,1440669712183144448,64639742, JagranNews Follow me gays Follow back confirm,1440669980505219083,False, JagranNews Follow me gays Follow back confirm,2021-09-22T13:31:04.000Z,India,"@JagranNews Follow me gays 
Follow back confirm",[],[],['JagranNews'],[],
6,hi,1440606562884616196,978599721714487296,जिला के नागरिकों से कोविड 19 प्रोटोकॉल की पालना करने का आह्वान करते हुए उपायुक्त ने कहा कि कोरोना संक्रमण का फैलाव न हो  ऐसे में तीन महत्वपूर्ण एहतियाती उपाय जरुरी हैं जिसमें सामाजिक दूरी  फेस मास्क का प्रयोग व हाथों को बार बार साबुन व हैंड सेनेटाइजर से साफ करना शामिल है।,1440606872944341005,False,,2021-09-22T09:20:18.000Z,India,"जिला के नागरिकों से कोविड-19 प्रोटोकॉल की पालना करने का आह्वान करते हुए उपायुक्त ने कहा कि कोरोना संक्रमण का फैलाव न हो, ऐसे में तीन महत्वपूर्ण एहतियाती उपाय जरुरी हैं जिसमें सामाजिक दूरी, फेस मास्क का प्रयोग व हाथों को बार-बार साबुन व हैंड सेनेटाइजर से साफ करना शामिल है।",[],[],[],['https://t.co/ysEGpuuLZp'],जिला के नागरिकों से कोविड 19 प्रोटोकॉल की पालना करने का आह्वान करते हुए उपायुक्त ने कहा कि कोरोना संक्रमण का फैलाव न हो  ऐसे में तीन महत्वपूर्ण एहतियाती उपाय जरुरी हैं जिसमें सामाजिक दूरी  फेस मास्क का प्रयोग व हाथों को बार बार साबुन व हैंड सेनेटाइजर से साफ करना शामिल है।
7,hi,1440560148854939653,1376770131590717443,अब प्रतिदिन चुनाव की जनसभा उत्तर प्रदेश में  उत्तराखंड में अब कोई रोना धोना नहीं है बंगाल के चुनाव के समय तो बहुत रोए पंचायत चुनाव में तो बहुत घड़ियाली आंसू बहाए लोगो के tax का पैसा फ्री सेवा में लगाओ  ,1440560855460974594,False,,2021-09-22T06:17:26.000Z,India,"अब प्रतिदिन चुनाव की जनसभा उत्तर प्रदेश में, उत्तराखंड में!
अब कोई रोना धोना नहीं है!

बंगाल के चुनाव के समय तो बहुत रोए!

पंचायत चुनाव में तो बहुत घड़ियाली आंसू बहाए!

लोगो के tax का पैसा फ्री सेवा में लगाओ !",[],[],[],['https://t.co/TPBfmnFluJ'],अब प्रतिदिन चुनाव की जनसभा उत्तर प्रदेश में  उत्तराखंड में अब कोई रोना धोना नहीं है बंगाल के चुनाव के समय तो बहुत रोए पंचायत चुनाव में तो बहुत घड़ियाली आंसू बहाए लोगो के tax का पैसा फ्री सेवा में लगाओ  
8,hi,1440542290443792388,2185132458, BhopalSamachar फिर महामारी एक्ट मास्क  बंद कर दे,1440585471373897732,False,,2021-09-22T07:55:15.000Z,India,@BhopalSamachar फिर महामारी एक्ट मास्क  बंद कर दे,[],[],['BhopalSamachar'],[], BhopalSamachar फिर महामारी एक्ट मास्क  बंद कर दे
9,hi,1440321194524221454,4034543546, Janardan BJP  mpajaypratap  JPNadda काश मास्क लगा कर कोरोना के बारे में जागरुकता अभियान चलाते तो समझ आता   ज्ञान देने से पहले उसको आत्मसात भी करना चाहिए    आप तो जन प्रतिनिधि हैं   आप ही नहीं सुधर रहे जनता खाक सुधरेगी दूसरी लहर इतनी खौफनाक सिर्फ और सिर्फ आप जैसे लापरवाह जनप्रतिनिधि लोगों की वजह से ही भयावह हुई।।,1440756990687342597,False,,2021-09-22T19:16:49.000Z,India,"@Janardan_BJP @mpajaypratap @JPNadda काश मास्क लगा कर कोरोना के बारे में जागरुकता अभियान चलाते तो समझ आता ..
ज्ञान देने से पहले उसको आत्मसात भी करना चाहिए .. आप तो जन प्रतिनिधि हैं , आप ही नहीं सुधर रहे जनता खाक सुधरेगी?
दूसरी लहर इतनी खौफनाक सिर्फ और सिर्फ आप जैसे लापरवाह जनप्रतिनिधि लोगों की वजह से ही भयावह हुई।।",[],[],"['Janardan_BJP', 'mpajaypratap', 'JPNadda']",['https://t.co/nVtkbIx8c5'], Janardan BJP  mpajaypratap  JPNadda काश मास्क लगा कर कोरोना के बारे में जागरुकता अभियान चलाते तो समझ आता   ज्ञान देने से पहले उसको आत्मसात भी करना चाहिए    आप तो जन प्रतिनिधि हैं   आप ही नहीं सुधर रहे जनता खाक सुधरेगी दूसरी लहर इतनी खौफनाक सिर्फ और सिर्फ आप जैसे लापरवाह जनप्रतिनिधि लोगों की वजह से ही भयावह हुई।।
10,hi,1440301398650810371,1723059252, luckykaushal55  RahulGandhi  cmohry  Dchautala  ashokgehlot51  mlkhattar राजनीति की खाट पर   बंधा पड़ा विकास।बेरोज़गारी खेल रही   स्मार्ट फ़ोन पर ताश ॥,1440308544721473547,False,,2021-09-21T13:34:51.000Z,India,"@luckykaushal55 @RahulGandhi @cmohry @Dchautala @ashokgehlot51 @mlkhattar राजनीति की खाट पर , बंधा पड़ा विकास।
बेरोज़गारी खेल रही , स्मार्ट फ़ोन पर ताश ॥",[],[],"['luckykaushal55', 'RahulGandhi', 'cmohry', 'Dchautala', 'ashokgehlot51', 'mlkhattar']",['https://t.co/7xbx2ZWSyh'], luckykaushal55  RahulGandhi  cmohry  Dchautala  ashokgehlot51  mlkhattar राजनीति की खाट पर   बंधा पड़ा विकास।बेरोज़गारी खेल रही   स्मार्ट फ़ोन पर ताश ॥
11,hi,1440301398650810371,1723059252,देश के युवा को आपने धोखा दिया है खैर आप तो ईमानदार है आपका क्या कसूरकसूर हमारे जैसे नोजवानो का है जिन्होंने आपका विश्वाश करके वोट दिया,1440301410910752769,False,,2021-09-21T13:06:30.000Z,India,"देश के युवा को आपने धोखा दिया है खैर आप तो ईमानदार है आपका क्या कसूर
कसूर हमारे जैसे नोजवानो का है जिन्होंने आपका विश्वाश करके वोट दिया",[],[],[],[],देश के युवा को आपने धोखा दिया है खैर आप तो ईमानदार है आपका क्या कसूरकसूर हमारे जैसे नोजवानो का है जिन्होंने आपका विश्वाश करके वोट दिया
