,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_en,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,text_hi
0,en,1440724833239646220,1125393988721074176, MaheshA10684960 True,1440726667392020496,False, MaheshA10684960 True,2021-09-22T17:16:19.000Z,India,@MaheshA10684960 True,[],[],['MaheshA10684960'],[],
1,hi,1440720622393303042,1253658886843838464, idushyantjadaun इसे हेरोइन नही भाई हीरोइन दिला दो कोरोना के कारण इटली नही गये है पप्पू भाई बेचारे परेशान तो होगें,1440721991900618752,False,,2021-09-22T16:57:44.000Z,India,@idushyantjadaun इसे हेरोइन नही भाई हीरोइन दिला दो कोरोना के कारण इटली नही गये है पप्पू भाई बेचारे परेशान तो होगें,[],[],['idushyantjadaun'],[], idushyantjadaun इसे हेरोइन नही भाई हीरोइन दिला दो कोरोना के कारण इटली नही गये है पप्पू भाई बेचारे परेशान तो होगें
2,hi,1440709532485775364,1075009074297737216, khushi9595 भाजपा को चुनाव के समय में बस किसी हिन्दू मुस्लिम बनाना है नहीं चाहिए भाजपा,1440721956936896517,False,,2021-09-22T16:57:36.000Z,India,"@khushi9595 भाजपा को चुनाव के समय में बस किसी हिन्दू मुस्लिम बनाना है

#नहीं_चाहिए_भाजपा",[],['नहीं_चाहिए_भाजपा'],['khushi9595'],[], khushi9595 भाजपा को चुनाव के समय में बस किसी हिन्दू मुस्लिम बनाना है नहीं चाहिए भाजपा
3,hi,1440650179066011650,1369938969572507648,परिवार कल्याण निदेशालयदिल्ली सरकार011 23813210,1440650182064963585,False,,2021-09-22T12:12:24.000Z,India,"परिवार कल्याण निदेशालय
दिल्ली सरकार
011-23813210",[],[],[],[],परिवार कल्याण निदेशालयदिल्ली सरकार011 23813210
4,hi,1440641492125585410,753594181696819201, ThePradeepBatra  SunilRW  pushkardhami  narendramodi  BJP4UK  shivprakashbjp  anil baluni  AmitShah  BJP4India  JPNadda  yoursdharm  rpsinghkhalsa भाजपा फिर से आ रही है 2022,1440649065482514435,False,,2021-09-22T12:07:57.000Z,India,@ThePradeepBatra @SunilRW @pushkardhami @narendramodi @BJP4UK @shivprakashbjp @anil_baluni @AmitShah @BJP4India @JPNadda @yoursdharm @rpsinghkhalsa भाजपा फिर से आ रही है 2022,[],[],"['ThePradeepBatra', 'SunilRW', 'pushkardhami', 'narendramodi', 'BJP4UK', 'shivprakashbjp', 'anil_baluni', 'AmitShah', 'BJP4India']",['https://t.co/x420eFxzF5'], ThePradeepBatra  SunilRW  pushkardhami  narendramodi  BJP4UK  shivprakashbjp  anil baluni  AmitShah  BJP4India  JPNadda  yoursdharm  rpsinghkhalsa भाजपा फिर से आ रही है 2022
5,hi,1440640355146235908,1384545808473755649,160 लोगों को कोवैक्सीन की डोज दी गयी।इन दोनों स्थानों पर टीका लगाने में जुटी एएनएम बहनों को सेवा सप्ताह के तहत शॉल देकर सम्मानित भी किया।  81 वर्ष की दादी नागी हांसदा जी समेत 10 ऐसे बुजुर्गों ने टीकाकरण कराया  जिनकी उम्र 70 वर्ष से अधिक है।,1440640357746704389,False,,2021-09-22T11:33:21.000Z,India,"160 लोगों को कोवैक्सीन की डोज दी गयी।इन दोनों स्थानों पर टीका लगाने में जुटी एएनएम बहनों को सेवा सप्ताह के तहत शॉल देकर सम्मानित भी किया।  81 वर्ष की दादी नागी हांसदा जी समेत 10 ऐसे बुजुर्गों ने टीकाकरण कराया, जिनकी उम्र 70 वर्ष से अधिक है।",[],[],[],['https://t.co/KhQ11bE9S9'],160 लोगों को कोवैक्सीन की डोज दी गयी।इन दोनों स्थानों पर टीका लगाने में जुटी एएनएम बहनों को सेवा सप्ताह के तहत शॉल देकर सम्मानित भी किया।  81 वर्ष की दादी नागी हांसदा जी समेत 10 ऐसे बुजुर्गों ने टीकाकरण कराया  जिनकी उम्र 70 वर्ष से अधिक है।
6,hi,1440608540977078277,1870059439, SureshrathoreUK माननीय श्री सुरेश राठौड़ जी जिन्दाबाद,1440626837156032521,False,,2021-09-22T10:39:38.000Z,India,@SureshrathoreUK माननीय श्री सुरेश राठौड़ जी जिन्दाबाद❤❤,['❤'],[],['SureshrathoreUK'],[], SureshrathoreUK माननीय श्री सुरेश राठौड़ जी जिन्दाबाद
7,hi,1440594213972975616,2229508381, BJP4UK जय हो,1440667956757757970,False,,2021-09-22T13:23:01.000Z,India,@BJP4UK जय हो,[],[],['BJP4UK'],[], BJP4UK जय हो
8,hi,1440594213972975616,2229508381, BJP4UK  MLAAdeshchauhan मोदी जी है तो मुमकिन है बीजेपी ओबीसी मोर्चा सोशल मीडिया उत्तराखंड,1440631112175284237,False,,2021-09-22T10:56:37.000Z,India,"@BJP4UK @MLAAdeshchauhan मोदी जी है तो मुमकिन है 
बीजेपी ओबीसी मोर्चा सोशल मीडिया उत्तराखंड",[],[],"['BJP4UK', 'MLAAdeshchauhan']",[], BJP4UK  MLAAdeshchauhan मोदी जी है तो मुमकिन है बीजेपी ओबीसी मोर्चा सोशल मीडिया उत्तराखंड
9,hi,1440566239428898823,3277287186, richavashisth7 नैसर्गिक रूप से नेगेटिव घोड़ा समाज से ऊर्जा प्राप्त करता है इसलिए अगर पॉजिटिव घोड़े को दौड़ में आगे रखना है तो आत्मविश्वास  आत्मबल  सकारात्मक सोच और सकारात्मक व्यक्तियों का साथ बनाने पर व्यक्ति को विशेष ध्यान देना चाहिए ।,1440569176184160259,False,,2021-09-22T06:50:30.000Z,India,"@richavashisth7 नैसर्गिक रूप से नेगेटिव घोड़ा समाज से ऊर्जा प्राप्त करता है इसलिए अगर पॉजिटिव घोड़े को दौड़ में आगे रखना है तो आत्मविश्वास, आत्मबल, सकारात्मक सोच और सकारात्मक व्यक्तियों का साथ बनाने पर व्यक्ति को विशेष ध्यान देना चाहिए ।",[],[],['richavashisth7'],['https://t.co/cCS00kO5nM'], richavashisth7 नैसर्गिक रूप से नेगेटिव घोड़ा समाज से ऊर्जा प्राप्त करता है इसलिए अगर पॉजिटिव घोड़े को दौड़ में आगे रखना है तो आत्मविश्वास  आत्मबल  सकारात्मक सोच और सकारात्मक व्यक्तियों का साथ बनाने पर व्यक्ति को विशेष ध्यान देना चाहिए ।
10,hi,1440548920917053447,2305840981, gunjanjhaji  Reflectivediary  IamCJha  SonaliVermaMT बिल्कुल सहमत,1440650916378542083,False,,2021-09-22T12:15:19.000Z,India,@gunjanjhaji @Reflectivediary @IamCJha @SonaliVermaMT बिल्कुल सहमत,[],[],"['gunjanjhaji', 'Reflectivediary', 'IamCJha', 'SonaliVermaMT']",[], gunjanjhaji  Reflectivediary  IamCJha  SonaliVermaMT बिल्कुल सहमत
11,hi,1440541914395136000,938002728898347008, Republic Bharat करोना बीमारी से आम आदमी मरे न मरे लेकिन जो आप अपनी ईमानदारी से काम नही कर रहे है वो ग़लत है।आज करोड़ों लोगों का करोड़ो रुपया सहारा इंडिया जैसी कंपनियों में पैसा फसा हुआ है लेकिन आप आम आदमी के लिए आवाज नही उठा रहे ।कुछ तो शर्म कीजिए । यही सब इंसाफ होगा। ये याद रखना।,1440543984850333697,False,,2021-09-22T05:10:24.000Z,India,@Republic_Bharat करोना बीमारी से आम आदमी मरे न मरे लेकिन जो आप अपनी ईमानदारी से काम नही कर रहे है वो ग़लत है।आज करोड़ों लोगों का करोड़ो रुपया सहारा इंडिया जैसी कंपनियों में पैसा फसा हुआ है लेकिन आप आम आदमी के लिए आवाज नही उठा रहे ।कुछ तो शर्म कीजिए । यही सब इंसाफ होगा। ये याद रखना।,[],[],['Republic_Bharat'],['https://t.co/YvkZGT3Q4k'], Republic Bharat करोना बीमारी से आम आदमी मरे न मरे लेकिन जो आप अपनी ईमानदारी से काम नही कर रहे है वो ग़लत है।आज करोड़ों लोगों का करोड़ो रुपया सहारा इंडिया जैसी कंपनियों में पैसा फसा हुआ है लेकिन आप आम आदमी के लिए आवाज नही उठा रहे ।कुछ तो शर्म कीजिए । यही सब इंसाफ होगा। ये याद रखना।
12,hi,1440503618042355718,817340591046414336, thewirehindi Assam के News Channels और पत्रकारों ने रोहिंग्या मुसलमानों की गिरफ़्तारी     https   t co q4FROQPwOp via  YouTube,1440512861676060672,False,,2021-09-22T03:06:44.000Z,India,@thewirehindi Assam के News Channels और पत्रकारों ने रोहिंग्या मुसलमानों की गिरफ़्तारी ... https://t.co/q4FROQPwOp via @YouTube,[],[],"['thewirehindi', 'YouTube']",['https://t.co/q4FROQPwOp'], thewirehindi Assam के News Channels और पत्रकारों ने रोहिंग्या मुसलमानों की गिरफ़्तारी     https   t co q4FROQPwOp via  YouTube
13,hi,1440354804241297421,938002728898347008, Republic Bharat भारत व भारतीयों की प्रतिभा का दम  ,1440382796795502611,False,,2021-09-21T18:29:54.000Z,India,@Republic_Bharat भारत व भारतीयों की प्रतिभा का दम |,[],[],['Republic_Bharat'],[], Republic Bharat भारत व भारतीयों की प्रतिभा का दम  
14,en,1440347788940693506,1318848397462302720, QnOfHell  GuptaPragnya Seems his photo on vaccination certificate is proving to be liability,1440506427135594497,False, QnOfHell  GuptaPragnya Seems his photo on vaccination certificate is proving to be liability,2021-09-22T02:41:10.000Z,India,@QnOfHell @GuptaPragnya Seems his photo on vaccination certificate is proving to be liability,[],[],"['QnOfHell', 'GuptaPragnya']",[],
15,hi,1440297223619694593,1267776093479530497, Kuldeep18667171  anamikaa 143  BramhRakshas Adani k hato me railway airport de do or asani ho jaege supply me  jo jo log is mamle me mu pe Patti lagae baithe dikhenge sab k hissedar hone ki ashanka hai ,1440411615388585988,False,,2021-09-21T20:24:25.000Z,India,@Kuldeep18667171 @anamikaa_143 @BramhRakshas Adani k hato me railway airport de do or asani ho jaege supply me..jo jo log is mamle me mu pe Patti lagae baithe dikhenge sab k hissedar hone ki ashanka hai 😂😂,['😂'],[],"['Kuldeep18667171', 'anamikaa_143', 'BramhRakshas']",['https://t.co/3IKRzMvqtl'], Kuldeep18667171  anamikaa 143  BramhRakshas Adani k hato me railway airport de do or asani ho jaege supply me  jo jo log is mamle me mu pe Patti lagae baithe dikhenge sab k hissedar hone ki ashanka hai 
16,en,1440263378442670091,2617066206, DrRPNishank  narendramodi hello R K  this side do you wanna earn money online by using your phone then DM me  918839488464Instagram ID   r k  affiliater,1440263478170640386,False, DrRPNishank  narendramodi hello R K  this side do you wanna earn money online by using your phone then DM me  918839488464Instagram ID   r k  affiliater,2021-09-21T10:35:46.000Z,India,"@DrRPNishank @narendramodi hello R.K. this side 
do you wanna earn money online by using your phone 
then DM me 👇🏻
+918839488464
Instagram ID:- r.k._affiliater",['👇🏻'],[],"['DrRPNishank', 'narendramodi']",['https://t.co/VFE17q629v'],
17,hi,1440202341035036672,925786569276928000, DrRahman93 बेशक भाई,1440206874410774530,False,,2021-09-21T06:50:51.000Z,India,@DrRahman93 बेशक भाई,[],[],['DrRahman93'],[], DrRahman93 बेशक भाई
18,hi,1440175039102394368,1083586473708797953, ISNTiwari यानी सिस्टम जुमला जुमला हो गया    ,1440176877222567937,False,,2021-09-21T04:51:39.000Z,India,@ISNTiwari यानी सिस्टम जुमला जुमला हो गया....,[],[],['ISNTiwari'],[], ISNTiwari यानी सिस्टम जुमला जुमला हो गया    
19,en,1440169360924950531,1410062707898740738, Muzammilrazvi9  Aarya ind Credit    GaddaJP https   t co HGr9vzpnRd,1440171793487065102,False, Muzammilrazvi9  Aarya ind Credit    GaddaJP https   t co HGr9vzpnRd,2021-09-21T04:31:27.000Z,India,@Muzammilrazvi9 @Aarya_ind Credit : @GaddaJP https://t.co/HGr9vzpnRd,[],[],"['Muzammilrazvi9', 'Aarya_ind', 'GaddaJP']",[],
20,en,1440125319575261192,94082324, dw hindi nice one,1440207529145880585,False, dw hindi nice one,2021-09-21T06:53:27.000Z,India,@dw_hindi nice one,[],[],['dw_hindi'],[],
21,hi,1440080831687626752,817340591046414336, thewirehindi जिया हो  सब कुछ मुमकिन ,1440146812745052163,False,,2021-09-21T02:52:11.000Z,India,@thewirehindi जिया हो! सब कुछ मुमकिन!,[],[],['thewirehindi'],[], thewirehindi जिया हो  सब कुछ मुमकिन 
22,hi,1440028841397796875,786222383002705925, manjit2007  arvindo82 बच्चे पैदा होने से ज्यादा तो यहां मोबाइल के मॉडल तैयार हो रहे हैं,1440265802611970053,False,,2021-09-21T10:45:00.000Z,India,@manjit2007 @arvindo82 बच्चे पैदा होने से ज्यादा तो यहां मोबाइल के मॉडल तैयार हो रहे हैं,[],[],"['manjit2007', 'arvindo82']",[], manjit2007  arvindo82 बच्चे पैदा होने से ज्यादा तो यहां मोबाइल के मॉडल तैयार हो रहे हैं
