,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_hi,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,text_en,text_es
0,hi,1440733627038326785,1212798914421673984, NewsJunctionTV  jairamthakurbjp Jai himachal,1440739150206959616,False, NewsJunctionTV  jairamthakurbjp Jai himachal,2021-09-22T18:05:55.000Z,India,@NewsJunctionTV @jairamthakurbjp Jai himachal,[],[],"['NewsJunctionTV', 'jairamthakurbjp']",[],,
1,hi,1440717794245369867,2231630149, MrAmanDeep  BJYMinCH  Tejasvi Surya  blsanthosh  KapilParmar  arunsoodbjp  vijayranabjp  tarunchughbjp  BJP4India  BJP4Chandigarh  dushyanttgautam  maheshsidhubjp Jai ho Vijay ho ,1440736744840724482,False, MrAmanDeep  BJYMinCH  Tejasvi Surya  blsanthosh  KapilParmar  arunsoodbjp  vijayranabjp  tarunchughbjp  BJP4India  BJP4Chandigarh  dushyanttgautam  maheshsidhubjp Jai ho Vijay ho ,2021-09-22T17:56:22.000Z,India,@MrAmanDeep @BJYMinCH @Tejasvi_Surya @blsanthosh @KapilParmar @arunsoodbjp @vijayranabjp @tarunchughbjp @BJP4India @BJP4Chandigarh @dushyanttgautam @maheshsidhubjp Jai ho Vijay ho 🙏,['🙏'],[],"['MrAmanDeep', 'BJYMinCH', 'Tejasvi_Surya', 'blsanthosh', 'KapilParmar', 'arunsoodbjp', 'vijayranabjp', 'tarunchughbjp', 'BJP4India']",['https://t.co/9PNNWjhkaZ'],,
2,en,1440717794245369867,2231630149, shahpuriz  BJYMinCH  Tejasvi Surya  blsanthosh  KapilParmar  arunsoodbjp  vijayranabjp  tarunchughbjp  BJP4India  BJP4Chandigarh  dushyanttgautam  maheshsidhubjp  iBhatt4India Thank you paaji,1440724225963163651,False,,2021-09-22T17:06:37.000Z,India,@shahpuriz @BJYMinCH @Tejasvi_Surya @blsanthosh @KapilParmar @arunsoodbjp @vijayranabjp @tarunchughbjp @BJP4India @BJP4Chandigarh @dushyanttgautam @maheshsidhubjp @iBhatt4India Thank you paaji,[],[],"['shahpuriz', 'BJYMinCH', 'Tejasvi_Surya', 'blsanthosh', 'KapilParmar', 'arunsoodbjp', 'vijayranabjp', 'tarunchughbjp', 'BJP4India']",['https://t.co/UbLaP0O9K3'], shahpuriz  BJYMinCH  Tejasvi Surya  blsanthosh  KapilParmar  arunsoodbjp  vijayranabjp  tarunchughbjp  BJP4India  BJP4Chandigarh  dushyanttgautam  maheshsidhubjp  iBhatt4India Thank you paaji,
3,hi,1440706213725966338,971984018580254720, projshoshangaba  healthminmp पिपरिया ,1440715590423834626,False, projshoshangaba  healthminmp पिपरिया ,2021-09-22T16:32:18.000Z,India,@projshoshangaba @healthminmp पिपरिया?,[],[],"['projshoshangaba', 'healthminmp']",[],,
4,hi,1440689432470777866,816930988169117696, DmMaharajganj  CMOfficeUP  myogioffice  UPGovt  InfoDeptUP  ChiefSecyUP जय हिन्द।,1440690013486805008,False, DmMaharajganj  CMOfficeUP  myogioffice  UPGovt  InfoDeptUP  ChiefSecyUP जय हिन्द।,2021-09-22T14:50:40.000Z,India,@DmMaharajganj @CMOfficeUP @myogioffice @UPGovt @InfoDeptUP @ChiefSecyUP जय हिन्द।,[],[],"['DmMaharajganj', 'CMOfficeUP', 'myogioffice', 'UPGovt', 'InfoDeptUP', 'ChiefSecyUP']",[],,
5,hi,1440649405611196428,1320141312, BJP4Rajasthan  RanjeetaKoliMP Good Regards Danish AbbasGo raksha vahini up mantri,1440659892470050822,False, BJP4Rajasthan  RanjeetaKoliMP Good Regards Danish AbbasGo raksha vahini up mantri,2021-09-22T12:50:59.000Z,India,"@BJP4Rajasthan @RanjeetaKoliMP Good 
Regards Danish Abbas
Go raksha vahini up mantri",[],[],"['BJP4Rajasthan', 'RanjeetaKoliMP']",[],,
6,hi,1440640355146235908,1384545808473755649,160 लोगों को कोवैक्सीन की डोज दी गयी।इन दोनों स्थानों पर टीका लगाने में जुटी एएनएम बहनों को सेवा सप्ताह के तहत शॉल देकर सम्मानित भी किया।  81 वर्ष की दादी नागी हांसदा जी समेत 10 ऐसे बुजुर्गों ने टीकाकरण कराया  जिनकी उम्र 70 वर्ष से अधिक है।,1440640357746704389,False,160 लोगों को कोवैक्सीन की डोज दी गयी।इन दोनों स्थानों पर टीका लगाने में जुटी एएनएम बहनों को सेवा सप्ताह के तहत शॉल देकर सम्मानित भी किया।  81 वर्ष की दादी नागी हांसदा जी समेत 10 ऐसे बुजुर्गों ने टीकाकरण कराया  जिनकी उम्र 70 वर्ष से अधिक है।,2021-09-22T11:33:21.000Z,India,"160 लोगों को कोवैक्सीन की डोज दी गयी।इन दोनों स्थानों पर टीका लगाने में जुटी एएनएम बहनों को सेवा सप्ताह के तहत शॉल देकर सम्मानित भी किया।  81 वर्ष की दादी नागी हांसदा जी समेत 10 ऐसे बुजुर्गों ने टीकाकरण कराया, जिनकी उम्र 70 वर्ष से अधिक है।",[],[],[],['https://t.co/KhQ11bE9S9'],,
7,hi,1440596592608772103,813345438908620801, MIB Hindi कहने को देश में इतने कानून है।फिर भी एक गधा टीवी पर नंगा नाच रहा है  घर में news देखना बंद हो गया है इस ऐड की बजह सेविज्ञापन में महिला की साड़ी उड़ते हुए दिखाया है लक्स अंडरवियर की power से  लक्स कम्पनी क्या बुरका उड़ते हुए दिखा सकती है  boycottLuxCozi,1440602893967446029,False, MIB Hindi कहने को देश में इतने कानून है।फिर भी एक गधा टीवी पर नंगा नाच रहा है  घर में news देखना बंद हो गया है इस ऐड की बजह सेविज्ञापन में महिला की साड़ी उड़ते हुए दिखाया है लक्स अंडरवियर की power से  लक्स कम्पनी क्या बुरका उड़ते हुए दिखा सकती है  boycottLuxCozi,2021-09-22T09:04:29.000Z,India,"@MIB_Hindi कहने को देश में इतने कानून है।फिर भी एक गधा टीवी पर नंगा नाच रहा है, घर में news देखना बंद हो गया है इस ऐड की बजह से
विज्ञापन में महिला की साड़ी उड़ते हुए दिखाया है लक्स अंडरवियर की power से! लक्स कम्पनी क्या बुरका उड़ते हुए दिखा सकती है?
#boycottLuxCozi",[],[],['MIB_Hindi'],['https://t.co/RPzXw2HUW0'],,
8,hi,1440596592608772103,813345438908620801, MIB Hindi  MIB Hindi सूचना प्रशारन मंत्रालय से हमारा निवेदन है कि थोडा ध्यान दें कि ये advertsiment  सीरियल और फ़िल्म बनाने वाले क्या परोस रहे हैंक्या प्रचार के नाम पर कुछ भी परोसा जा सकता है  क्या अश्लीलता की परिभाषा अलग है इनके लिएअंडरवियर का ऐड या महिलाओं का अपमान boycott lux cozy,1440601805709197320,False, MIB Hindi  MIB Hindi सूचना प्रशारन मंत्रालय से हमारा निवेदन है कि थोडा ध्यान दें कि ये advertsiment  सीरियल और फ़िल्म बनाने वाले क्या परोस रहे हैंक्या प्रचार के नाम पर कुछ भी परोसा जा सकता है  क्या अश्लीलता की परिभाषा अलग है इनके लिएअंडरवियर का ऐड या महिलाओं का अपमान boycott lux cozy,2021-09-22T09:00:10.000Z,India,"@MIB_Hindi @MIB_Hindi सूचना प्रशारन मंत्रालय से हमारा निवेदन है कि थोडा ध्यान दें कि ये advertsiment, सीरियल और फ़िल्म बनाने वाले क्या परोस रहे हैं

क्या प्रचार के नाम पर कुछ भी परोसा जा सकता है, क्या अश्लीलता की परिभाषा अलग है इनके लिए
अंडरवियर का ऐड या महिलाओं का अपमान
#boycott_lux_cozy",[],[],"['MIB_Hindi', 'MIB_Hindi']",['https://t.co/Axi2vzEUB3'],,
9,hi,1440592113930944513,978599721714487296,विद्यालय के प्रधानाचार्य हरविंद्र सिंह ने बताया कि कोरोना से बचने का एकमात्र उपाय टीकाकरण ही है  जो इसे मात दे सकता है क्योंकि टीकाकरण से हमारे शरीर में रोग प्रतिरोधकता बढ़ जाती है। उन्होंने विभाग की प्रशंसा करते हुए कहा कि ऐसे कार्यक्रम के आयोजन से ही लोगों में जागरूकता आएगी।,1440592210181832713,False,विद्यालय के प्रधानाचार्य हरविंद्र सिंह ने बताया कि कोरोना से बचने का एकमात्र उपाय टीकाकरण ही है  जो इसे मात दे सकता है क्योंकि टीकाकरण से हमारे शरीर में रोग प्रतिरोधकता बढ़ जाती है। उन्होंने विभाग की प्रशंसा करते हुए कहा कि ऐसे कार्यक्रम के आयोजन से ही लोगों में जागरूकता आएगी।,2021-09-22T08:22:02.000Z,India,"विद्यालय के प्रधानाचार्य हरविंद्र सिंह ने बताया कि कोरोना से बचने का एकमात्र उपाय टीकाकरण ही है, जो इसे मात दे सकता है क्योंकि टीकाकरण से हमारे शरीर में रोग प्रतिरोधकता बढ़ जाती है। उन्होंने विभाग की प्रशंसा करते हुए कहा कि ऐसे कार्यक्रम के आयोजन से ही लोगों में जागरूकता आएगी।",[],[],[],['https://t.co/RKC1rrvaIZ'],,
