,tweet_lang,poi_name,poi_id,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_en,tweet_date,text_hi
0,en,drharshvardhan,77732185,True,1440352283393355789,"Saddened to hear about the Udhampur #helicoptercrash in which we lost 2 bravehearts today
Deepest condolences to the grieving families
May the departed souls attain moksha
OM Shanti 🙏
2 pilots die as army helicopter crash-lands in J&amp;K's Udhampur district https://t.co/X8qmATPsPO",['🙏'],['helicoptercrash'],[],['https://t.co/X8qmATPsPO'],India,Saddened to hear about the Udhampur  helicoptercrash in which we lost 2 bravehearts todayDeepest condolences to the grieving familiesMay the departed souls attain mokshaOM Shanti 2 pilots die as army helicopter crash lands in J amp K s Udhampur district https   t co X8qmATPsPO,2021-09-21 16:00:00,
1,hi,drharshvardhan,77732185,True,1440292671755460612,"हथकरघा व हस्तशिल्प में काम करने वाले कारीगरों,बुनकरों की भागीदारी बढ़ा रही मोदी सरकार!

बुनकरों-कारीगरों को बाजार तक बेहतर पहुंच प्रदान करने के एक प्रयास के तहत उन्हें GeM पोर्टल से जोड़ने के लिए एक अभियान शुरू किया गया है ताकि वे अपने उत्पादों को सीधे सरकारी विभागों को बेच सकें। https://t.co/jU6ilGTAf7",[],[],[],[],India,,2021-09-21 13:00:00,हथकरघा व हस्तशिल्प में काम करने वाले कारीगरों बुनकरों की भागीदारी बढ़ा रही मोदी सरकार बुनकरों कारीगरों को बाजार तक बेहतर पहुंच प्रदान करने के एक प्रयास के तहत उन्हें GeM पोर्टल से जोड़ने के लिए एक अभियान शुरू किया गया है ताकि वे अपने उत्पादों को सीधे सरकारी विभागों को बेच सकें। https   t co jU6ilGTAf7
2,hi,drharshvardhan,77732185,True,1440258472310837254,"PM श्री @narendramodi जी के नेतृत्व में देश आत्मनिर्भर व महाशक्ति बनने की दिशा में तेजी से आगे बढ़ रहा है।परिणामस्वरूप,दुनियाभर में देश की साख मज़बूत होने से वैश्विक स्तर पर तमाम रैंकिंग में सुधार हो रहा है।
@GI_Index में भारत दो पायदान की छलांग लगाकर 46वें स्थान पर पहुंच गया है। https://t.co/PaIusfjW73",[],[],"['narendramodi', 'GI_Index']",[],India,,2021-09-21 10:00:00,PM श्री  narendramodi जी के नेतृत्व में देश आत्मनिर्भर व महाशक्ति बनने की दिशा में तेजी से आगे बढ़ रहा है।परिणामस्वरूप दुनियाभर में देश की साख मज़बूत होने से वैश्विक स्तर पर तमाम रैंकिंग में सुधार हो रहा है। GI Index में भारत दो पायदान की छलांग लगाकर 46वें स्थान पर पहुंच गया है। https   t co PaIusfjW73
3,hi,drharshvardhan,77732185,True,1440233524754190346,"मोदी सरकार की नि:शुल्क राष्ट्रीय टेलीमेडिसिन सेवा -(eSanjeevani) ने 1.20 करोड़ से अधिक परामर्श पूरा करके एक और मील का पत्थर पार किया है।

दैनिक आधार पर 90,000 से अधिक रोगी इस नवीन डिजिटल माध्यम का उपयोग करके सेवा से लाभांवित हो रहे हैं।

@PMOIndia @MoHFW_INDIA #telemedicine https://t.co/P53Ds4SxhH",[],['telemedicine'],"['PMOIndia', 'MoHFW_INDIA']",[],India,,2021-09-21 09:00:00,मोदी सरकार की नि शुल्क राष्ट्रीय टेलीमेडिसिन सेवा   eSanjeevani  ने 1 20 करोड़ से अधिक परामर्श पूरा करके एक और मील का पत्थर पार किया है।दैनिक आधार पर 90 000 से अधिक रोगी इस नवीन डिजिटल माध्यम का उपयोग करके सेवा से लाभांवित हो रहे हैं। PMOIndia  MoHFW INDIA  telemedicine https   t co P53Ds4SxhH
4,hi,drharshvardhan,77732185,True,1440188508870561799,"श्रमिकों के कल्याण के लिए सतत प्रयत्नशील मोदी सरकार!

ई-श्रम पोर्टल पर 1 करोड़ से अधिक श्रमिकों ने कराया पंजीकरण।

PM श्री @narendramodi जी के नेतृत्व में केंद्र सरकार असंगठित क्षेत्र के पंजीकृत श्रमिकों को आसानी से सरकारी योजनाओं का लाभ देकर उनके जीवन में एक नया उजाला ला रही है। https://t.co/jYusWAC1K0",[],[],['narendramodi'],[],India,,2021-09-21 06:00:00,श्रमिकों के कल्याण के लिए सतत प्रयत्नशील मोदी सरकार ई श्रम पोर्टल पर 1 करोड़ से अधिक श्रमिकों ने कराया पंजीकरण।PM श्री  narendramodi जी के नेतृत्व में केंद्र सरकार असंगठित क्षेत्र के पंजीकृत श्रमिकों को आसानी से सरकारी योजनाओं का लाभ देकर उनके जीवन में एक नया उजाला ला रही है। https   t co jYusWAC1K0
5,hi,drharshvardhan,77732185,True,1440188041771945985,"जीवन का प्रमुख लक्ष्य शांति और खुशी प्राप्त करना है, जिसके लिए मनुष्य निरंतर कर्मशील व प्रयासरत है।

संपूर्ण विश्व में शांति के संदेश के ध्येय से प्रतिवर्ष 21 सितंबर को #InternationalPeaceDay के रूप में मनाया जाता है।

आइए शांति व सद्भावना का प्रण करें। https://t.co/vwswNMOtgD",[],['InternationalPeaceDay'],[],[],India,,2021-09-21 06:00:00,जीवन का प्रमुख लक्ष्य शांति और खुशी प्राप्त करना है  जिसके लिए मनुष्य निरंतर कर्मशील व प्रयासरत है।संपूर्ण विश्व में शांति के संदेश के ध्येय से प्रतिवर्ष 21 सितंबर को  InternationalPeaceDay के रूप में मनाया जाता है।आइए शांति व सद्भावना का प्रण करें। https   t co vwswNMOtgD
6,hi,drharshvardhan,77732185,True,1440014542046515200,"राजनीति @BJP4India के लिए जनसेवा का माध्यम है।

इसी क्रम में मोदी जी के जन्मदिन पर चलाए जा रहे #SevaSamarpan के तहत आज मैं अपने संसदीय क्षेत्र चांदनी चौक में आयोजित निःशुल्क नेत्र परीक्षण व मोतियाबिन्द आपरेशन चयन, बधिर रोगियों की जांच तथा श्रवण यंत्र वितरण शिविर में सम्मिलित हुआ। https://t.co/MjrcNkUcuq",[],['SevaSamarpan'],['BJP4India'],[],India,,2021-09-20 18:00:00,राजनीति  BJP4India के लिए जनसेवा का माध्यम है।इसी क्रम में मोदी जी के जन्मदिन पर चलाए जा रहे  SevaSamarpan के तहत आज मैं अपने संसदीय क्षेत्र चांदनी चौक में आयोजित निःशुल्क नेत्र परीक्षण व मोतियाबिन्द आपरेशन चयन  बधिर रोगियों की जांच तथा श्रवण यंत्र वितरण शिविर में सम्मिलित हुआ। https   t co MjrcNkUcuq
7,hi,drharshvardhan,77732185,True,1439972478952955906,"सेवा व आध्यात्मिकता के शक्तिपुंज,अखाड़ा परिषद के अध्यक्ष महंत #narendragiri जी के ब्रह्मलीन होने पर मैं हतप्रभ हूं।
उन्होंने मानव पीड़ा को कम करने के लिए बहु-प्रयास करे।
प्रभु दिवंगत पुण्यात्मा को अपने श्री चरणों में स्थान व अनुयायियों को यह दुःख सहने की शक्ति प्रदान करें🙏",['🙏'],['narendragiri'],[],[],India,,2021-09-20 15:00:00,सेवा व आध्यात्मिकता के शक्तिपुंज अखाड़ा परिषद के अध्यक्ष महंत  narendragiri जी के ब्रह्मलीन होने पर मैं हतप्रभ हूं।उन्होंने मानव पीड़ा को कम करने के लिए बहु प्रयास करे।प्रभु दिवंगत पुण्यात्मा को अपने श्री चरणों में स्थान व अनुयायियों को यह दुःख सहने की शक्ति प्रदान करें
8,hi,drharshvardhan,77732185,True,1439938199581650952,"जी हाँ !!

आपके पास बहुत ही सुनहरा मौक़ा है, PM श्री @narendramodi जी को मिले उपहारों को #auction के माध्यम से प्राप्त करने का !

इससे मिले धन का उपयोग #NamamiGange पहल में किया जाएगा।

https://t.co/ZidXxs6Tcs 

@PMOIndia https://t.co/FjrQAeFOgG",[],"['auction', 'NamamiGange']","['narendramodi', 'PMOIndia']","['https://t.co/ZidXxs6Tcs', 'https://t.co/FjrQAeFOgG']",India,,2021-09-20 13:00:00,जी हाँ   आपके पास बहुत ही सुनहरा मौक़ा है  PM श्री  narendramodi जी को मिले उपहारों को  auction के माध्यम से प्राप्त करने का  इससे मिले धन का उपयोग  NamamiGange पहल में किया जाएगा।https   t co ZidXxs6Tcs  PMOIndia https   t co FjrQAeFOgG
9,hi,drharshvardhan,77732185,True,1439933367311499266,"PM श्री @narendramodi जी के साथ कार्य करते हुए मैंने देखा है कि गरीब और अभावग्रस्त लोगों के लिए उनका हृदय सबसे तेज धड़कता है और इन लोगों के लिए उनकी आंखे बहुत आसानी से नम हो जाती हैं।

उन्होंने सिर्फ ग़रीब कल्याण के वादे नहीं किए बल्कि उनको चरितार्थ करके भी दिखाया।
#SevaSamarpan https://t.co/KeGr8O6dVO",[],['SevaSamarpan'],['narendramodi'],[],India,,2021-09-20 13:00:00,PM श्री  narendramodi जी के साथ कार्य करते हुए मैंने देखा है कि गरीब और अभावग्रस्त लोगों के लिए उनका हृदय सबसे तेज धड़कता है और इन लोगों के लिए उनकी आंखे बहुत आसानी से नम हो जाती हैं।उन्होंने सिर्फ ग़रीब कल्याण के वादे नहीं किए बल्कि उनको चरितार्थ करके भी दिखाया। SevaSamarpan https   t co KeGr8O6dVO
