,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_en,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,text_es
0,en,1441160524704714755,16462068, wjxt4 And that one won t work either ,1441160982072602625,False, wjxt4 And that one won t work either ,2021-09-23T22:02:08.000Z,USA,@wjxt4 And that one won't work either 🙄,['🙄'],[],['wjxt4'],[],
1,en,1441160517217783813,725049207636287488, yourbio health The UK has ceased to be a free country  Lord Sumption accurately described Boris Johnson s coronavirus wildly authoritarian restrictions as the  most significant interference with personal freedom in the history of our country   Boris is a tyrant ,1441160721677443074,False, yourbio health The UK has ceased to be a free country  Lord Sumption accurately described Boris Johnson s coronavirus wildly authoritarian restrictions as the  most significant interference with personal freedom in the history of our country   Boris is a tyrant ,2021-09-23T22:01:06.000Z,USA,"@yourbio_health The UK has ceased to be a free country. Lord Sumption accurately described Boris Johnson's coronavirus wildly authoritarian restrictions as the ""most significant interference with personal freedom in the history of our country"". Boris is a tyrant.",[],[],['yourbio_health'],['https://t.co/cbSo86NDLD'],
2,en,1441159202714447875,396501481, trinidougla868 I’m sure some folks run and do it already lol  but I get the excitement in being able to go out and keeping it protected ,1441160864959188993,False, trinidougla868 I’m sure some folks run and do it already lol  but I get the excitement in being able to go out and keeping it protected ,2021-09-23T22:01:40.000Z,USA,"@trinidougla868 I’m sure some folks run and do it already lol, but I get the excitement in being able to go out and keeping it protected.",[],[],['trinidougla868'],[],
3,en,1441158587334619136,14589088, WJBF government should never be recommending any kind of medical advice,1441159421732659205,False, WJBF government should never be recommending any kind of medical advice,2021-09-23T21:55:56.000Z,USA,@WJBF government should never be recommending any kind of medical advice,[],[],['WJBF'],[],
4,en,1441158376835190784,24733117, jilevin When Moderna ,1441158918529560576,False, jilevin When Moderna ,2021-09-23T21:53:56.000Z,USA,@jilevin When Moderna?,[],[],['jilevin'],[],
5,en,1441158246534844423,1258897329287049216,  Nick 34 Not starting shit but just curious if you’re voting democrat again after what we are witnessing,1441159556436922370,False,  Nick 34 Not starting shit but just curious if you’re voting democrat again after what we are witnessing,2021-09-23T21:56:28.000Z,USA,@_Nick_34 Not starting shit but just curious if you’re voting democrat again after what we are witnessing,[],[],['_Nick_34'],[],
6,en,1441158048907620361,1148632804013608961, evilpowderoom Well that came right from my Drs office  earlier today ,1441158973269237760,False, evilpowderoom Well that came right from my Drs office  earlier today ,2021-09-23T21:54:09.000Z,USA,@evilpowderoom Well that came right from my Drs office  earlier today.,[],[],['evilpowderoom'],[],
7,en,1441158048907620361,1148632804013608961, Mick93545042 You may want to check that sir ,1441158489393582083,False, Mick93545042 You may want to check that sir ,2021-09-23T21:52:13.000Z,USA,@Mick93545042 You may want to check that sir.,[],[],['Mick93545042'],[],
8,en,1441157946365206531,14712659, WOODTV But what are  risky underlying health problems   What exactly does that mean ,1441158750342037514,False, WOODTV But what are  risky underlying health problems   What exactly does that mean ,2021-09-23T21:53:16.000Z,USA,"@WOODTV But what are ""risky underlying health problems""? What exactly does that mean?",[],[],['WOODTV'],[],
9,en,1441157402749911041,52099553, KSNNews A First Wave The Emergence  Pandemic Romance  Shelby and Simon are in the heart of the battle Traveling the world to save countless lives Will their journey find the solutions will they find themselves or each other  https   t co djq0YUOI4J  afirstwave  COVID19  LISA  asecondwave https   t co 4MNOMx0W50,1441157986936770560,False, KSNNews A First Wave The Emergence  Pandemic Romance  Shelby and Simon are in the heart of the battle Traveling the world to save countless lives Will their journey find the solutions will they find themselves or each other  https   t co djq0YUOI4J  afirstwave  COVID19  LISA  asecondwave https   t co 4MNOMx0W50,2021-09-23T21:50:14.000Z,USA,"@KSNNews A First Wave-The Emergence. Pandemic Romance. Shelby and Simon are in the heart of the battle.Traveling the world to save countless lives.Will their journey find the solutions,will they find themselves or each other? https://t.co/djq0YUOI4J #afirstwave #COVID19 #LISA #asecondwave https://t.co/4MNOMx0W50",[],[],['KSNNews'],['https://t.co/TenibsAIpV'],
10,en,1441157104455196687,21780652, joey begg  PittsburghPG Drop trow then  son ,1441159513147535365,False, joey begg  PittsburghPG Drop trow then  son ,2021-09-23T21:56:18.000Z,USA,"@joey_begg @PittsburghPG Drop trow then, son.",[],[],"['joey_begg', 'PittsburghPG']",[],
11,en,1441157104455196687,21780652, PittsburghPG I want mine in tha dick,1441157435687772167,False, PittsburghPG I want mine in tha dick,2021-09-23T21:48:02.000Z,USA,@PittsburghPG I want mine in tha dick,[],[],['PittsburghPG'],[],
12,en,1441156925706493956,15754281, USATODAY https   t co uGuX8SBsEQA little fear  buy now from  zazzle,1441160939752013825,False, USATODAY https   t co uGuX8SBsEQA little fear  buy now from  zazzle,2021-09-23T22:01:58.000Z,USA,"@USATODAY https://t.co/uGuX8SBsEQ

A little fear..buy now from #zazzle",[],['zazzle'],['USATODAY'],['https://t.co/uGuX8SBsEQ'],
13,en,1441156925706493956,15754281, USATODAY Nah  We see you  https   t co S1eT10ojp6,1441157780639936515,False, USATODAY Nah  We see you  https   t co S1eT10ojp6,2021-09-23T21:49:24.000Z,USA,@USATODAY Nah. We see you. https://t.co/S1eT10ojp6,[],[],['USATODAY'],[],
14,en,1441156925706493956,15754281, USATODAY Joe Biden ordered a drone strike on Aug 29 killing 7 kids plus 3 adults  Biden  amp  MSM claimed they are ISIS K bombers which is a big lie  For this grave crime  no one fired  no one resigned  not even an apology issued  Joe Biden is a real killer  more sinister than Vladimir Putin ,1441157655142207490,False, USATODAY Joe Biden ordered a drone strike on Aug 29 killing 7 kids plus 3 adults  Biden  amp  MSM claimed they are ISIS K bombers which is a big lie  For this grave crime  no one fired  no one resigned  not even an apology issued  Joe Biden is a real killer  more sinister than Vladimir Putin ,2021-09-23T21:48:55.000Z,USA,"@USATODAY Joe Biden ordered a drone strike on Aug 29 killing 7 kids plus 3 adults. Biden &amp; MSM claimed they are ISIS-K bombers which is a big lie. For this grave crime, no one fired, no one resigned, not even an apology issued. Joe Biden is a real killer, more sinister than Vladimir Putin.",[],[],['USATODAY'],['https://t.co/tUW6OGJyQO'],
15,en,1441156925706493956,15754281, USATODAY horrible,1441157453236764674,False, USATODAY horrible,2021-09-23T21:48:06.000Z,USA,@USATODAY horrible,[],[],['USATODAY'],[],
16,en,1441156925706493956,15754281, USATODAY No  actually the board voted that idea down and Fauci claims that people shouldn t opt for the third dose until there is more research  Nice try buddddy ,1441157356457398277,False, USATODAY No  actually the board voted that idea down and Fauci claims that people shouldn t opt for the third dose until there is more research  Nice try buddddy ,2021-09-23T21:47:43.000Z,USA,"@USATODAY No, actually the board voted that idea down and Fauci claims that people shouldn't opt for the third dose until there is more research. Nice try buddddy!",[],[],['USATODAY'],['https://t.co/DOebtAKeXW'],
17,en,1441156541193859074,16543760, News12LI Ok  I can see booster mandate is on the way,1441158976926748677,False, News12LI Ok  I can see booster mandate is on the way,2021-09-23T21:54:10.000Z,USA,@News12LI Ok. I can see booster mandate is on the way,[],[],['News12LI'],[],
18,en,1441156137961857024,18720099, tmj4 Nothing about health care workers ,1441156365595013120,False, tmj4 Nothing about health care workers ,2021-09-23T21:43:47.000Z,USA,@tmj4 Nothing about health care workers?,[],[],['tmj4'],[],
19,en,1441155438804750344,16012783, thedailybeast If you re a millionaire by the time you re 30  but blow it all by age 40 you ve gained nothing  Grow and protect your investment portfolio with Mr  Dennismayson7   and you may find yourself funding many generations to come  investing in Crypto  Just click on he username above ,1441156632302424070,False, thedailybeast If you re a millionaire by the time you re 30  but blow it all by age 40 you ve gained nothing  Grow and protect your investment portfolio with Mr  Dennismayson7   and you may find yourself funding many generations to come  investing in Crypto  Just click on he username above ,2021-09-23T21:44:51.000Z,USA,"@thedailybeast If you're a millionaire by the time you're 30, but blow it all by age 40,you've gained nothing. Grow and protect your investment portfolio with Mr @Dennismayson7 , and you may find yourself funding many generations to come  investing in Crypto. Just click on he username above!",[],[],['thedailybeast'],['https://t.co/Tij3o7kREI'],
20,en,1441155438804750344,16012783, thedailybeast Only People Innovation EvidenceGovt Market can solve current future problemsHow  Legally require that govt decisions regulations use ONLY verifiable amp transparent evidence Demand inclusion of such legal guarantees in laws Constitution  ThisIsTheWayhttps   t co 7ziMOg7ylB,1441155636549410819,False, thedailybeast Only People Innovation EvidenceGovt Market can solve current future problemsHow  Legally require that govt decisions regulations use ONLY verifiable amp transparent evidence Demand inclusion of such legal guarantees in laws Constitution  ThisIsTheWayhttps   t co 7ziMOg7ylB,2021-09-23T21:40:53.000Z,USA,"@thedailybeast Only People+Innovation+EvidenceGovt+Market can solve current/future problems

How?
☑️ Legally require that govt decisions/regulations use ONLY verifiable&amp;transparent evidence
☑️ Demand inclusion of such legal guarantees in laws/Constitution 

#ThisIsTheWay
https://t.co/7ziMOg7ylB",['☑️'],[],['thedailybeast'],['https://t.co/dpscl91hDn'],
21,en,1441155365886853120,16894445, FishOrDie704  WBTV News That’s not why they post it   it’s what they get   they would love for the conservatives to just go away,1441159446789455877,False, FishOrDie704  WBTV News That’s not why they post it   it’s what they get   they would love for the conservatives to just go away,2021-09-23T21:56:02.000Z,USA,@FishOrDie704 @WBTV_News That’s not why they post it - it’s what they get - they would love for the conservatives to just go away,[],[],"['FishOrDie704', 'WBTV_News']",[],
22,en,1441155365886853120,16894445, WBTV News Well it s clear they don t work when y all going to realize they don t work when they get up to five booster shots,1441157241189584897,False, WBTV News Well it s clear they don t work when y all going to realize they don t work when they get up to five booster shots,2021-09-23T21:47:16.000Z,USA,@WBTV_News Well it's clear they don't work when y'all going to realize they don't work when they get up to five booster shots,[],[],['WBTV_News'],[],
23,en,1441155365886853120,16894445, WBTV News Out of all the local news sites  wbtv is the WORST when it comes to posting shit just to get people arguing in the replies ,1441155676881907718,False, WBTV News Out of all the local news sites  wbtv is the WORST when it comes to posting shit just to get people arguing in the replies ,2021-09-23T21:41:03.000Z,USA,"@WBTV_News Out of all the local news sites, wbtv is the WORST when it comes to posting shit just to get people arguing in the replies.",[],[],['WBTV_News'],[],
24,en,1441155018581848066,1353384031560339458, RalphBerriosMo1 Thanks  but I’ll wait for Spring  I’ll be holed up all winter️  Looking forward to a safe sunny summer instead  So I’ll get my third jab in March️ ,1441159135936933894,False, RalphBerriosMo1 Thanks  but I’ll wait for Spring  I’ll be holed up all winter️  Looking forward to a safe sunny summer instead  So I’ll get my third jab in March️ ,2021-09-23T21:54:48.000Z,USA,"@RalphBerriosMo1 Thanks, but I’ll wait for Spring. I’ll be holed up all winter😶‍🌫️🥶💨⛄️. Looking forward to a safe sunny summer instead. So I’ll get my third jab in March🌧🌦⛅️☀️.","['🌧', '💨', '🥶', '🌦', '☀️', '😶\u200d🌫️', '⛅', '⛄']",[],['RalphBerriosMo1'],['https://t.co/MiSrpuDcCI'],
25,en,1441155018581848066,1353384031560339458, Michael00513617 That s right I m with you it s about time for vaccinating we gotta do that there s no other way the unvaccinated must be vaccinated that s our freedom from covid   ,1441158024471666691,False, Michael00513617 That s right I m with you it s about time for vaccinating we gotta do that there s no other way the unvaccinated must be vaccinated that s our freedom from covid   ,2021-09-23T21:50:23.000Z,USA,@Michael00513617 That's right I'm with you it's about time for vaccinating we gotta do that there's no other way the unvaccinated must be vaccinated💙💉💉 that's our freedom from covid!!!,"['💉', '💙']",[],['Michael00513617'],['https://t.co/bORUhcBLgI'],
26,en,1441155018581848066,1353384031560339458, RalphBerriosMo1 Let’s get the unvaccinated vaccinated    ,1441156840692219905,False, RalphBerriosMo1 Let’s get the unvaccinated vaccinated    ,2021-09-23T21:45:40.000Z,USA,"@RalphBerriosMo1 Let’s get the unvaccinated,vaccinated!!!!",[],[],['RalphBerriosMo1'],[],
27,en,1441154926739001347,4921116605,The panel  however  did not vote on the issue of mixing boosters – whether someone who initially received the Moderna or Johnson  amp  Johnson vaccine could receive a Pfizer booster shot ,1441155076400160771,True,The panel  however  did not vote on the issue of mixing boosters – whether someone who initially received the Moderna or Johnson  amp  Johnson vaccine could receive a Pfizer booster shot ,2021-09-23T21:38:40.000Z,USA,"The panel, however, did not vote on the issue of mixing boosters – whether someone who initially received the Moderna or Johnson &amp; Johnson vaccine could receive a Pfizer booster shot.",[],[],[],['https://t.co/PCYcX1eCbM'],
