,tweet_lang,poi_name,poi_id,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_hi,tweet_date,text_en
0,hi,AmitShah,1447949844,True,1439962058011807757,"अखाड़ा परिषद के अध्यक्ष श्री नरेंद्र गिरि जी का पूरा जीवन अध्यात्म व धर्म के प्रचार, उत्थान व मानव सेवा को समर्पित रहा। उनके देवलोकगमन से हमने सनातन संस्कृति का एक देदीप्यमान नक्षत्र खो दिया है। ईश्वर से प्रार्थना करता हूँ कि दिवंगत आत्मा को अपने श्रीचरणों में स्थान दें। ॐ शांति",[],[],[],[],India,अखाड़ा परिषद के अध्यक्ष श्री नरेंद्र गिरि जी का पूरा जीवन अध्यात्म व धर्म के प्रचार  उत्थान व मानव सेवा को समर्पित रहा। उनके देवलोकगमन से हमने सनातन संस्कृति का एक देदीप्यमान नक्षत्र खो दिया है। ईश्वर से प्रार्थना करता हूँ कि दिवंगत आत्मा को अपने श्रीचरणों में स्थान दें। ॐ शांति,2021-09-20 15:00:00,
1,hi,AmitShah,1447949844,True,1439886197162070021,गुजरात के नवनियुक्त मुख्यमंत्री श्री @Bhupendrapbjp जी से अपने आवास पर भेंट की व उन्हें नए दायित्व के लिए शुभकामनाएँ दी। https://t.co/SR5eRFF9ok,[],[],['Bhupendrapbjp'],[],India,गुजरात के नवनियुक्त मुख्यमंत्री श्री  Bhupendrapbjp जी से अपने आवास पर भेंट की व उन्हें नए दायित्व के लिए शुभकामनाएँ दी। https   t co SR5eRFF9ok,2021-09-20 10:00:00,
2,hi,AmitShah,1447949844,True,1439266829541675015,"कांग्रेस सिर्फ बोलने का काम करती है और भाजपा करके दिखाती है...यही अंतर है कांग्रेस और भाजपा में।

आज जब हम कहते हैं कि आइये आजादी का अमृत महोत्सव मनाइए तो उनमें कोई उत्साह ही नहीं दिखता और यहां हमारे कार्यकर्ता तालियों की गूंज से पूरे मंडप को गुंजायमान कर देते हैं। https://t.co/4rLKDQyIVt",[],[],[],[],India,कांग्रेस सिर्फ बोलने का काम करती है और भाजपा करके दिखाती है   यही अंतर है कांग्रेस और भाजपा में।आज जब हम कहते हैं कि आइये आजादी का अमृत महोत्सव मनाइए तो उनमें कोई उत्साह ही नहीं दिखता और यहां हमारे कार्यकर्ता तालियों की गूंज से पूरे मंडप को गुंजायमान कर देते हैं। https   t co 4rLKDQyIVt,2021-09-18 17:00:00,
3,hi,AmitShah,1447949844,True,1439266214107238414,"कल @narendramodi जी के जन्मदिन पर 2.5 करोड़ वैक्सीन लगने का रिकॉर्ड बना।
 
हमें गर्व होना चाहिए कि मोदीजी ने लोगों के दिलों में ऐसा स्थान बनाया है कि #SevaSamarpan जन-जन का कार्यक्रम बन गया।

मोदीजी ने अपने जीवन से हमें रास्ता दिखाया कि भाजपा कार्यकर्ताओं को कैसा जीवन जीना चाहिए। https://t.co/9wDTwaEVtI",[],['SevaSamarpan'],['narendramodi'],[],India,कल  narendramodi जी के जन्मदिन पर 2 5 करोड़ वैक्सीन लगने का रिकॉर्ड बना। हमें गर्व होना चाहिए कि मोदीजी ने लोगों के दिलों में ऐसा स्थान बनाया है कि  SevaSamarpan जन जन का कार्यक्रम बन गया।मोदीजी ने अपने जीवन से हमें रास्ता दिखाया कि भाजपा कार्यकर्ताओं को कैसा जीवन जीना चाहिए। https   t co 9wDTwaEVtI,2021-09-18 17:00:00,
4,hi,AmitShah,1447949844,True,1439265969591881729,कार्यकर्ता कहते हैं कि मेरे आने से उनका उत्साह बढ़ जाता है। मैं यह तो नहीं जानता इसमें कितना सत्य है लेकिन इतना जरूर है कि आप कार्यकर्ताओं के बीच में आने से मेरा उत्साह जरूर बहुत बढ़ जाता है। मैं परिश्रम की पराकाष्ठा करने वाले आप सभी कार्यकर्ताओं को प्रणाम करता हूँ। https://t.co/x3CpGBClQF,[],[],[],[],India,कार्यकर्ता कहते हैं कि मेरे आने से उनका उत्साह बढ़ जाता है। मैं यह तो नहीं जानता इसमें कितना सत्य है लेकिन इतना जरूर है कि आप कार्यकर्ताओं के बीच में आने से मेरा उत्साह जरूर बहुत बढ़ जाता है। मैं परिश्रम की पराकाष्ठा करने वाले आप सभी कार्यकर्ताओं को प्रणाम करता हूँ। https   t co x3CpGBClQF,2021-09-18 17:00:00,
5,hi,AmitShah,1447949844,True,1439251724317839369,आज जबलपुर के दयोदय तीर्थ में आचार्य विद्यासागर जी महाराज के दर्शन कर आशीर्वाद लेने का सौभाग्य मिला। जनकल्याण के प्रति समर्पित आपका सादगीपूर्ण व तपस्वी जीवन हमें और तन्मयता से राष्ट्रसेवा के लिए प्रेरित करता है। https://t.co/0WV0LbsaOr,[],[],[],[],India,आज जबलपुर के दयोदय तीर्थ में आचार्य विद्यासागर जी महाराज के दर्शन कर आशीर्वाद लेने का सौभाग्य मिला। जनकल्याण के प्रति समर्पित आपका सादगीपूर्ण व तपस्वी जीवन हमें और तन्मयता से राष्ट्रसेवा के लिए प्रेरित करता है। https   t co 0WV0LbsaOr,2021-09-18 16:00:00,
6,hi,AmitShah,1447949844,True,1439245943170158599,"जबलपुर संसदीय क्षेत्र के बूथ अध्यक्षों के सम्मेलन को संबोधित किया।

भाजपा विचारधारा और संगठन के आधार पर चलने वाली जन-कल्याण के प्रति समर्पित पार्टी है, जिसकी असली शक्ति उसके बूथ कार्यकर्ता हैं। अपने बूथ कार्यकर्ताओं से संवाद करके मुझमें सदैव एक नई ऊर्जा का संचार होता है। https://t.co/HcIifLUZxy",[],[],[],[],India,जबलपुर संसदीय क्षेत्र के बूथ अध्यक्षों के सम्मेलन को संबोधित किया।भाजपा विचारधारा और संगठन के आधार पर चलने वाली जन कल्याण के प्रति समर्पित पार्टी है  जिसकी असली शक्ति उसके बूथ कार्यकर्ता हैं। अपने बूथ कार्यकर्ताओं से संवाद करके मुझमें सदैव एक नई ऊर्जा का संचार होता है। https   t co HcIifLUZxy,2021-09-18 15:00:00,
7,hi,AmitShah,1447949844,True,1439242754043748359,"हमारे यशस्वी प्रधानमंत्री @narendramodi जी आत्मनिर्भर भारत का लक्ष्य लेकर निकले हैं जिसका उद्देश्य है देश के 130 करोड़ लोगों का सर्वस्पर्शी व सर्वसमावेशी विकास करना, हर गरीब के चेहरे पर मुस्कान लाना, हर बेरोजगार को रोजगार देना, हर अनपढ़ को पढ़ाना और हर भूखे को भोजन उपलब्ध कराना। https://t.co/fFB50yMWvr",[],[],['narendramodi'],[],India,हमारे यशस्वी प्रधानमंत्री  narendramodi जी आत्मनिर्भर भारत का लक्ष्य लेकर निकले हैं जिसका उद्देश्य है देश के 130 करोड़ लोगों का सर्वस्पर्शी व सर्वसमावेशी विकास करना  हर गरीब के चेहरे पर मुस्कान लाना  हर बेरोजगार को रोजगार देना  हर अनपढ़ को पढ़ाना और हर भूखे को भोजन उपलब्ध कराना। https   t co fFB50yMWvr,2021-09-18 15:00:00,
8,hi,AmitShah,1447949844,True,1439242744006799362,"मोदी जी ने सिर्फ गरीब कल्याण के वादे नहीं किए बल्कि उनकों चरितार्थ करके दिखाया।

@ChouhanShivraj जी की कल्याणकारी योजनाओं को कांग्रेस ने आते ही बंद कर दिया।

शिवराज जी ने पुनः मुख्यमंत्री बनते ही उन्हें शुरू किया, ये बताता है कि भाजपा कि प्राथमिकता क्या है और कांग्रेस कि क्या है। https://t.co/XJXaQFytct",[],[],['ChouhanShivraj'],[],India,मोदी जी ने सिर्फ गरीब कल्याण के वादे नहीं किए बल्कि उनकों चरितार्थ करके दिखाया। ChouhanShivraj जी की कल्याणकारी योजनाओं को कांग्रेस ने आते ही बंद कर दिया।शिवराज जी ने पुनः मुख्यमंत्री बनते ही उन्हें शुरू किया  ये बताता है कि भाजपा कि प्राथमिकता क्या है और कांग्रेस कि क्या है। https   t co XJXaQFytct,2021-09-18 15:00:00,
9,hi,AmitShah,1447949844,True,1439242712541110281,"मध्य प्रदेश में उज्ज्वला 2.0 के शुभारंभ से 17 लाख महिलाओं को मुफ्त गैस कनेक्शन मिलेगा, जिसमें से आज ही 5 लाख महिलाओं को गैस कनेक्शन दिया जा रहा है, जिससे उनका घर धुआं मुक्त होगा।

मैं इन सभी 5 लाख माताओं-बहनों को प्रणाम कर बधाई देता हूँ। https://t.co/Nx1xmjEUL1",[],[],[],[],India,मध्य प्रदेश में उज्ज्वला 2 0 के शुभारंभ से 17 लाख महिलाओं को मुफ्त गैस कनेक्शन मिलेगा  जिसमें से आज ही 5 लाख महिलाओं को गैस कनेक्शन दिया जा रहा है  जिससे उनका घर धुआं मुक्त होगा।मैं इन सभी 5 लाख माताओं बहनों को प्रणाम कर बधाई देता हूँ। https   t co Nx1xmjEUL1,2021-09-18 15:00:00,
