,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_hi,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,text_en,text_es
0,hi,1440738998180188164,827241649889611776,8   को वैक्सीन     फ्री     भारत में  पूरी दुनिया में सिर्फ भारत में ही वैक्सीनेशन फ़्री हो रहा है।          मगर हमें तो पेट्रोल से तकलीफ़ है।पूरा विश्व यह सोचकर परेशान हैं कि भारत 135  करोड़ लोगों को फ़्री  टीकाकरण  और  80  करोड़ लोगों को मुफ्त राशन कैसे दे पा रहा है।।,1440739000042459138,False,8   को वैक्सीन     फ्री     भारत में  पूरी दुनिया में सिर्फ भारत में ही वैक्सीनेशन फ़्री हो रहा है।          मगर हमें तो पेट्रोल से तकलीफ़ है।पूरा विश्व यह सोचकर परेशान हैं कि भारत 135  करोड़ लोगों को फ़्री  टीकाकरण  और  80  करोड़ लोगों को मुफ्त राशन कैसे दे पा रहा है।।,2021-09-22T18:05:19.000Z,India,"8-- को वैक्सीन --- फ्री  (  भारत में )
पूरी दुनिया में सिर्फ भारत में ही वैक्सीनेशन फ़्री हो रहा है।
          मगर हमें तो पेट्रोल से तकलीफ़ है।
पूरा विश्व यह सोचकर परेशान हैं कि भारत 135  करोड़ लोगों को फ़्री  टीकाकरण  और  80  करोड़ लोगों को मुफ्त राशन कैसे दे पा रहा है।।",[],[],[],['https://t.co/u3YqITrFNQ'],,
1,hi,1440702260552486914,827456681940443139,आज हम वैश्विक टीकाकरण के विस्तार में अपने भागीदारों के साथ मिलकर काम करने के लिए EU US वैक्सीन साझेदारी शुरू कर रहे हैं  अमेरिका के राष्ट्रपति जो बाइडेन JoeBiden  POTUS  Newsindia24x7  CoronaVaccine https   t co ZngTifbWFC,1440704648894042115,False,आज हम वैश्विक टीकाकरण के विस्तार में अपने भागीदारों के साथ मिलकर काम करने के लिए EU US वैक्सीन साझेदारी शुरू कर रहे हैं  अमेरिका के राष्ट्रपति जो बाइडेन JoeBiden  POTUS  Newsindia24x7  CoronaVaccine https   t co ZngTifbWFC,2021-09-22T15:48:49.000Z,India,"आज हम वैश्विक टीकाकरण के विस्तार में अपने भागीदारों के साथ मिलकर काम करने के लिए EU-US वैक्सीन साझेदारी शुरू कर रहे हैं: अमेरिका के राष्ट्रपति जो बाइडेन
@JoeBiden @POTUS 
#Newsindia24x7 #CoronaVaccine https://t.co/ZngTifbWFC",[],[],[],['https://t.co/S441koWXea'],,
2,hi,1440700755061526542,1199243479714390021, AHindinews इससे पाँच  गुना तो हम हमारे PM  narendramodi जी के जन्मदिन पे एक दिन में लगा देते है आप एक साल की बात कर रहे है,1440702579210551296,False, AHindinews इससे पाँच  गुना तो हम हमारे PM  narendramodi जी के जन्मदिन पे एक दिन में लगा देते है आप एक साल की बात कर रहे है,2021-09-22T15:40:36.000Z,India,@AHindinews इससे पाँच  गुना तो हम हमारे PM @narendramodi जी के जन्मदिन पे एक दिन में लगा देते है आप एक साल की बात कर रहे है,[],[],"['AHindinews', 'narendramodi']",[],,
3,hi,1440606512250900480,2347309949, Santoshdogra2 यही तो हो रहा है कर क्या रहे हैं  कह क्या रहे हैं और हो क्या रहा है भगवान भरोसे,1440617331885940737,False, Santoshdogra2 यही तो हो रहा है कर क्या रहे हैं  कह क्या रहे हैं और हो क्या रहा है भगवान भरोसे,2021-09-22T10:01:51.000Z,India,@Santoshdogra2 यही तो हो रहा है कर क्या रहे हैं  कह क्या रहे हैं और हो क्या रहा है भगवान भरोसे,[],[],['Santoshdogra2'],[],,
4,en,1440570794996764675,1346766691842179072, SubodhK01908948  NijiSachiv Bahot youtubers celebrities Or bahot s left librals in vaccine ka wait kr rhe t  Or inhe promote b kr rhe t  US UK ke to pet pr lat mark h  Liberals ki chati pr chad gaya modi,1440784216862588929,False,,2021-09-22T21:05:00.000Z,India,"@SubodhK01908948 @NijiSachiv Bahot youtubers celebrities Or bahot s left librals in vaccine ka wait kr rhe t. 
Or inhe promote b kr rhe t. 

US UK ke to pet pr lat mark h. 
Liberals ki chati pr chad gaya modi🤣🤣",['🤣'],[],"['SubodhK01908948', 'NijiSachiv']",['https://t.co/7r5iI6zmvG'], SubodhK01908948  NijiSachiv Bahot youtubers celebrities Or bahot s left librals in vaccine ka wait kr rhe t  Or inhe promote b kr rhe t  US UK ke to pet pr lat mark h  Liberals ki chati pr chad gaya modi,
5,hi,1440128539513147401,140798905, ZeeBusiness Fizer की वैक्सीन बच्चो के सुरक्षित फिर अमरीका में इतने लोग रोज क्या मर रहे है,1440129275223429123,False, ZeeBusiness Fizer की वैक्सीन बच्चो के सुरक्षित फिर अमरीका में इतने लोग रोज क्या मर रहे है,2021-09-21T01:42:30.000Z,India,@ZeeBusiness Fizer की वैक्सीन बच्चो के सुरक्षित फिर अमरीका में इतने लोग रोज क्या मर रहे है🤔,['🤔'],[],['ZeeBusiness'],[],,
6,en,1439998034184658950,42606652, aajtak Nice,1439999025596436480,False,,2021-09-20T17:04:56.000Z,India,@aajtak Nice,[],[],['aajtak'],[], aajtak Nice,
7,hi,1439956152993808385,39240673, SantKumarPande  ABPNews  narendramodi  ChouhanShivraj  JM Scindia  Indersinghsjp  शिक्षक ट्रांसफर पोर्टल चालू करो  narendramodi ChouhanShivraj  JM Scindia  Indersinghsjp माननीयसामान्य शिक्षक जो सिफारिशहीन थे स्वैच्छिक ट्रांसफर से वंचित रह गये उनकी करुण पुकार है कि नैसर्गिक न्याय   समानता  मानवता के नाते पारदर्शिता से पोर्टल पुनः चालू करने कृपा करें,1439975872358871048,False, SantKumarPande  ABPNews  narendramodi  ChouhanShivraj  JM Scindia  Indersinghsjp  शिक्षक ट्रांसफर पोर्टल चालू करो  narendramodi ChouhanShivraj  JM Scindia  Indersinghsjp माननीयसामान्य शिक्षक जो सिफारिशहीन थे स्वैच्छिक ट्रांसफर से वंचित रह गये उनकी करुण पुकार है कि नैसर्गिक न्याय   समानता  मानवता के नाते पारदर्शिता से पोर्टल पुनः चालू करने कृपा करें,2021-09-20T15:32:56.000Z,India,"@SantKumarPande @ABPNews @narendramodi @ChouhanShivraj @JM_Scindia @Indersinghsjp #शिक्षक_ट्रांसफर_पोर्टल_चालू_करो 
@narendramodi
@ChouhanShivraj 
@JM_Scindia 
@Indersinghsjp 
माननीय
सामान्य शिक्षक जो सिफारिशहीन थे स्वैच्छिक ट्रांसफर से वंचित रह गये उनकी करुण पुकार है कि नैसर्गिक न्याय , समानता, मानवता के नाते पारदर्शिता से पोर्टल पुनः चालू करने कृपा करें",[],['शिक्षक_ट्रांसफर_पोर्टल_चालू_करो'],"['SantKumarPande', 'ABPNews', 'narendramodi', 'ChouhanShivraj', 'JM_Scindia', 'Indersinghsjp']",['https://t.co/3ZBYaEtcDM'],,
8,hi,1439956152993808385,39240673, ajay1771987  SantKumarPande  ImranKh15656671  ABPNews  narendramodi  ChouhanShivraj  JM Scindia  Indersinghsjp  शिक्षक ट्रांसफर पोर्टल चालू करो  narendramodi ChouhanShivraj  JM Scindia  Indersinghsjp माननीयसामान्य शिक्षक जो सिफारिशहीन थे स्वैच्छिक ट्रांसफर से वंचित रह गये उनकी करुण पुकार है कि नैसर्गिक न्याय   समानता  मानवता के नाते पारदर्शिता से पोर्टल पुनः चालू करने कृपा करें,1439974630794547207,False, ajay1771987  SantKumarPande  ImranKh15656671  ABPNews  narendramodi  ChouhanShivraj  JM Scindia  Indersinghsjp  शिक्षक ट्रांसफर पोर्टल चालू करो  narendramodi ChouhanShivraj  JM Scindia  Indersinghsjp माननीयसामान्य शिक्षक जो सिफारिशहीन थे स्वैच्छिक ट्रांसफर से वंचित रह गये उनकी करुण पुकार है कि नैसर्गिक न्याय   समानता  मानवता के नाते पारदर्शिता से पोर्टल पुनः चालू करने कृपा करें,2021-09-20T15:28:00.000Z,India,"@ajay1771987 @SantKumarPande @ImranKh15656671 @ABPNews @narendramodi @ChouhanShivraj @JM_Scindia @Indersinghsjp #शिक्षक_ट्रांसफर_पोर्टल_चालू_करो 
@narendramodi
@ChouhanShivraj 
@JM_Scindia 
@Indersinghsjp 
माननीय
सामान्य शिक्षक जो सिफारिशहीन थे स्वैच्छिक ट्रांसफर से वंचित रह गये उनकी करुण पुकार है कि नैसर्गिक न्याय , समानता, मानवता के नाते पारदर्शिता से पोर्टल पुनः चालू करने कृपा करें",[],[],"['ajay1771987', 'SantKumarPande', 'ImranKh15656671', 'ABPNews', 'narendramodi', 'ChouhanShivraj', 'JM_Scindia', 'Indersinghsjp']",['https://t.co/UCXrd52CUf'],,
9,hi,1439914988567674881,67378160, DainikBhaskar  MoHFW INDIA  PMOIndia दलाली पूछ प्रारम्भ लगता है घोटालेवाज समाचार पत्र को तगड़ा पैसा मिला है,1439917029578870789,False, DainikBhaskar  MoHFW INDIA  PMOIndia दलाली पूछ प्रारम्भ लगता है घोटालेवाज समाचार पत्र को तगड़ा पैसा मिला है,2021-09-20T11:39:06.000Z,India,@DainikBhaskar @MoHFW_INDIA @PMOIndia दलाली पूछ प्रारम्भ लगता है घोटालेवाज समाचार पत्र को तगड़ा पैसा मिला है,[],[],"['DainikBhaskar', 'MoHFW_INDIA', 'PMOIndia']",[],,
