,tweet_lang,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_en,tweet_date
0,en,False,1441176554239930368,"Thursday Night Football - #CARvsHOU 

Start 'Em With Confidence: 
▪️ DJ Moore 🚀
▪️ Christian McCaffrey 🚀

Flex Worthy: 
▪️ Robby Anderson 💪
▪️ Brandin Cook 💪

Sit 'Em: 
▪️ Mark Ingram 
▪️ Dan Arnold
▪️ David Johnson 
▪️ Philip Lindsay","['💪', '▪️', '🚀']",['CARvsHOU'],[],[],USA,Thursday Night Football    CARvsHOU Start  Em With Confidence   DJ Moore  Christian McCaffrey Flex Worthy   Robby Anderson  Brandin Cook Sit  Em   Mark Ingram  Dan Arnold David Johnson  Philip Lindsay,2021-09-23 23:00:00
1,en,False,1441176526108512256,@OG_MAAC6 Gotchu ! I been wanting to watch but ain’t heard nun good bout it,[],[],['OG_MAAC6'],[],USA, OG MAAC6 Gotchu   I been wanting to watch but ain’t heard nun good bout it,2021-09-23 23:00:00
2,en,False,1441176521004097543,@TheFFFanatics3 hey 12 man league ppr very very shallow options is it worth starting David Johnson or mark ingram in the flex tonight? Lindsay maybe? I just Dk how the production will be with a subpar QB,[],[],['TheFFFanatics3'],[],USA, TheFFFanatics3 hey 12 man league ppr very very shallow options is it worth starting David Johnson or mark ingram in the flex tonight  Lindsay maybe  I just Dk how the production will be with a subpar QB,2021-09-23 23:00:00
3,en,False,1441176513274015752,"Dr. Roy D. Johnson is next. He finds the policing problematic, but his main concern is how the fee is being levied against condo owners.

He also says it's problematic the fee calculation for the district is outdated.",[],[],[],[],USA,Dr  Roy D  Johnson is next  He finds the policing problematic  but his main concern is how the fee is being levied against condo owners He also says it s problematic the fee calculation for the district is outdated ,2021-09-23 23:00:00
4,en,False,1441176480940105732,Because Boris Johnson isn't senile and needing of a script. https://t.co/wd8sVKceOe,[],[],[],['https://t.co/wd8sVKceOe'],USA,Because Boris Johnson isn t senile and needing of a script  https   t co wd8sVKceOe,2021-09-23 23:00:00
5,en,False,1441176439911505921,@Hokie20 @HokiesFB I was there! Loren Johnson denies Yatil Green!,[],[],"['Hokie20', 'HokiesFB']",[],USA, Hokie20  HokiesFB I was there  Loren Johnson denies Yatil Green ,2021-09-23 23:00:00
6,en,False,1441176426934255622,Camp Johnson here I come bby🏡,['🏡'],[],[],[],USA,Camp Johnson here I come bby,2021-09-23 23:00:00
7,en,False,1441176396060000259,@FantasyAlarm @rotobuzzguy @ItsTeraTime @AdamRonis Start Robby Anderson or wait for Diontae Johnson?,[],[],"['FantasyAlarm', 'rotobuzzguy', 'ItsTeraTime', 'AdamRonis']",[],USA, FantasyAlarm  rotobuzzguy  ItsTeraTime  AdamRonis Start Robby Anderson or wait for Diontae Johnson ,2021-09-23 23:00:00
8,en,False,1441176394185146377,@r_johnson_3 Let me know😂,['😂'],[],['r_johnson_3'],[],USA, r johnson 3 Let me know,2021-09-23 23:00:00
9,en,False,1441176376816640000,"Well of course not, he has no idea what people have to live on if they haven't got rich #ToryDonors
Johnson refuses to say if he could live on basic universal credit pay https://t.co/gk3AUkVO5v",[],['ToryDonors'],[],['https://t.co/gk3AUkVO5v'],USA,Well of course not  he has no idea what people have to live on if they haven t got rich  ToryDonorsJohnson refuses to say if he could live on basic universal credit pay https   t co gk3AUkVO5v,2021-09-23 23:00:00
10,en,False,1441176374090158087,"Liberty County vs Johnson | Georgia High School Football - Sep, 23
Go Watch Live Here➡️ https://t.co/l9cIk01125
The Johnson (Savannah, GA) varsity football team has a home conference game vs. Liberty County (Hinesville, GA) today @ 7p.",['➡️'],[],[],['https://t.co/l9cIk01125'],USA,Liberty County vs Johnson   Georgia High School Football   Sep  23Go Watch Live Here https   t co l9cIk01125The Johnson  Savannah  GA  varsity football team has a home conference game vs  Liberty County  Hinesville  GA  today   7p ,2021-09-23 23:00:00
11,en,False,1441176337884930060,"Liberty County vs Johnson | Georgia High School Football Live Stream
Click Here : https://t.co/4ZlTvXhGc2
The Johnson (Savannah, GA) varsity football team has a home conference game vs. Liberty County (Hinesville, GA) today @ 7p.",[],[],[],['https://t.co/4ZlTvXhGc2'],USA,Liberty County vs Johnson   Georgia High School Football Live StreamClick Here   https   t co 4ZlTvXhGc2The Johnson  Savannah  GA  varsity football team has a home conference game vs  Liberty County  Hinesville  GA  today   7p ,2021-09-23 23:00:00
12,en,False,1441176287142244352,"Not The Onion: ""Boris Johnson tells world leaders to ‘grow up’ on climate change, takes aim at Kermit the Frog"" https://t.co/IQzTSfF1yQ",[],[],[],[],USA,Not The Onion   Boris Johnson tells world leaders to ‘grow up’ on climate change  takes aim at Kermit the Frog  https   t co IQzTSfF1yQ,2021-09-23 23:00:00
13,en,False,1441176284193857536,"@RTaub_ @mike_p_johnson It's safe to say that series would've looked different with Lee. Don't know if we had the answer to get past Tampa last year, but just gotta hope everyone stays healthy this year and see how you stack up.",[],[],"['RTaub_', 'mike_p_johnson']",[],USA, RTaub   mike p johnson It s safe to say that series would ve looked different with Lee  Don t know if we had the answer to get past Tampa last year  but just gotta hope everyone stays healthy this year and see how you stack up ,2021-09-23 23:00:00
