,tweet_lang,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_en,tweet_date
0,en,False,1441007354724552707,"Top 10 #health #news of the day: Sept 23, 2021

▶️#Travel should be made easier through mutual recognition of vaccine certificates: @PMOIndia
▶️@moderna_tx CEO Stephane Bancel sees pandemic over in a year

https://t.co/zKnDKU7877

#healthcare #India #COVID19",['▶️'],"['health', 'news', 'Travel', 'healthcare', 'India', 'COVID19']","['PMOIndia', 'moderna_tx']",['https://t.co/zKnDKU7877'],USA,Top 10  health  news of the day  Sept 23  2021 Travel should be made easier through mutual recognition of vaccine certificates   PMOIndia moderna tx CEO Stephane Bancel sees pandemic over in a yearhttps   t co zKnDKU7877 healthcare  India  COVID19,2021-09-23 12:00:00
1,en,False,1441007334373871622,@RHansen3rdGrade @MsWteaches @L_D_Washington Had Moderna and got my booster yesterday you should be good,[],[],"['RHansen3rdGrade', 'MsWteaches', 'L_D_Washington']",[],USA, RHansen3rdGrade  MsWteaches  L D Washington Had Moderna and got my booster yesterday you should be good,2021-09-23 12:00:00
2,en,False,1441007227033300997,Moderna chief executive sees pandemic over in a year - newspaper https://t.co/2ie3tdEugq via @Yahoo,[],[],['Yahoo'],['https://t.co/2ie3tdEugq'],USA,Moderna chief executive sees pandemic over in a year   newspaper https   t co 2ie3tdEugq via  Yahoo,2021-09-23 12:00:00
3,en,False,1441007218237788165,"@Reuters "" You can either get vaccinated and have a good winter"".
This informação is wrong:
Sars-Cov-2 has evolve to adapt and reproduce in warm to hot Climates( Spring, Fall and Summer). 

Covid19 mostly naps during Winter.
Forget Covid19 shots for Winter Moderna.
Covid19 is not a flu!",[],[],['Reuters'],[],USA, Reuters   You can either get vaccinated and have a good winter  This informação is wrong Sars Cov 2 has evolve to adapt and reproduce in warm to hot Climates  Spring  Fall and Summer   Covid19 mostly naps during Winter Forget Covid19 shots for Winter Moderna Covid19 is not a flu ,2021-09-23 12:00:00
4,en,False,1441007104832192514,"#saveyourskin
IF YOU WORK FOR BIGPHARMA and do not want to be trialed for CAH (Crimes Against Humanity)
YOUR TIME IS ALMOST UP!
Speak now or regret later.
#pfizer #Moderna #astrazeneca #jj #bigpharma #covid19 #warcrimes https://t.co/wfC3Jiudsb",[],"['saveyourskin', 'pfizer', 'Moderna', 'astrazeneca', 'jj', 'bigpharma', 'covid19', 'warcrimes']",[],[],USA, saveyourskinIF YOU WORK FOR BIGPHARMA and do not want to be trialed for CAH  Crimes Against Humanity YOUR TIME IS ALMOST UP Speak now or regret later  pfizer  Moderna  astrazeneca  jj  bigpharma  covid19  warcrimes https   t co wfC3Jiudsb,2021-09-23 12:00:00
5,en,False,1441006946903998472,Moderna chief executive sees pandemic over in a year - newspaper - Yahoo! Voices https://t.co/STqUnapkZS,[],[],[],['https://t.co/STqUnapkZS'],USA,Moderna chief executive sees pandemic over in a year   newspaper   Yahoo  Voices https   t co STqUnapkZS,2021-09-23 12:00:00
6,en,False,1441006905833439232,@MikeMakher I know a few people that couldn't create the antibodies from the vaccine. The MD said there is some research that shows a combo of moderna and Pfizer could potentially help with that. Very interesting conversation,[],[],['MikeMakher'],[],USA, MikeMakher I know a few people that couldn t create the antibodies from the vaccine  The MD said there is some research that shows a combo of moderna and Pfizer could potentially help with that  Very interesting conversation,2021-09-23 12:00:00
7,en,False,1441006872597827584,"“Taxpayers have paid three times”…“Overall, the EU may have overpaid €31 billion for doses.“ https://t.co/nvN3XatApr",['xp'],[],[],['https://t.co/nvN3XatApr'],USA,“Taayers have paid three times”…“Overall  the EU may have overpaid €31 billion for doses “ https   t co nvN3XatApr,2021-09-23 12:00:00
8,en,False,1441006815827873796,Two die in Japan after shots from suspended Moderna vaccines - Japan govt https://t.co/4Fvnbf9Tsl,[],[],[],['https://t.co/4Fvnbf9Tsl'],USA,Two die in Japan after shots from suspended Moderna vaccines   Japan govt https   t co 4Fvnbf9Tsl,2021-09-23 12:00:00
9,en,False,1441006810127683586,"@Randall87454048 The only real difference is the wait time between doses. Pfizer is minimum 3 weeks, Moderna minimum 4 weeks",[],[],['Randall87454048'],[],USA, Randall87454048 The only real difference is the wait time between doses  Pfizer is minimum 3 weeks  Moderna minimum 4 weeks,2021-09-23 12:00:00
10,en,False,1441006787457605637,"Moderna CEO predicts COVID pandemic will be over in a year

https://t.co/5eyvjJoke7",[],[],[],['https://t.co/5eyvjJoke7'],USA,Moderna CEO predicts COVID pandemic will be over in a yearhttps   t co 5eyvjJoke7,2021-09-23 12:00:00
11,en,True,1441006761138327555,"New deliveries of #COVID19 vaccines to Canada are on pause as provinces already have more doses than they can currently use. Canada was to get 95 million doses of vaccine from Pfizer-BioNTech and Moderna by the end of September, but was 20 million shy of that as of yesterday. https://t.co/GtNPOMMj8B",[],['COVID19'],[],[],USA,New deliveries of  COVID19 vaccines to Canada are on pause as provinces already have more doses than they can currently use  Canada was to get 95 million doses of vaccine from Pfizer BioNTech and Moderna by the end of September  but was 20 million shy of that as of yesterday  https   t co GtNPOMMj8B,2021-09-23 12:00:00
12,en,False,1441006734986956801,"@yeahnaa333 @KatyMcconkey @sajidjavid @NHSEngland Well Pfizer and Moderna still have trials ongoing until about 2023.  Also are they not only now investigating vax side effects such as menstrual cycle disruption?

Well I mean the cells are given a genetic code to manufacture a spike protein, it's not worlds apart.",[],[],"['yeahnaa333', 'KatyMcconkey', 'sajidjavid', 'NHSEngland']",[],USA, yeahnaa333  KatyMcconkey  sajidjavid  NHSEngland Well Pfizer and Moderna still have trials ongoing until about 2023   Also are they not only now investigating vax side effects such as menstrual cycle disruption Well I mean the cells are given a genetic code to manufacture a spike protein  it s not worlds apart ,2021-09-23 12:00:00
13,en,False,1441006719333814274,We are going to beat this plague through science and common sense! #modernaphaseIIItrial #moderna #uhealth #miami https://t.co/kqe6PlChK7,[],"['modernaphaseIIItrial', 'moderna', 'uhealth', 'miami']",[],[],USA,We are going to beat this plague through science and common sense   modernaphaseIIItrial  moderna  uhealth  miami https   t co kqe6PlChK7,2021-09-23 12:00:00
14,en,False,1441006654808596482,"@StephieLynn204 @RobertCPadilla2 @ashishkjha Bro, I got Moderna...my third arm is ahead of it's time AND I can reach my back to scratch the whole thing if need be. Clearly the superior vaccine. Get on my level!",[],[],"['StephieLynn204', 'RobertCPadilla2', 'ashishkjha']",[],USA, StephieLynn204  RobertCPadilla2  ashishkjha Bro  I got Moderna   my third arm is ahead of it s time AND I can reach my back to scratch the whole thing if need be  Clearly the superior vaccine  Get on my level ,2021-09-23 12:00:00
15,en,False,1441006611720392710,"Seeing heaps of eager high school students enquiring about booking in for the Moderna vaccine over the school holidays, absolutely love to see it 🦠",['🦠'],[],[],[],USA,Seeing heaps of eager high school students enquiring about booking in for the Moderna vaccine over the school holidays  absolutely love to see it ,2021-09-23 12:00:00
16,en,False,1441006472310280194,"IF and only IF we use face masks 😷; if people don’t, variants will appear and we’ll prolong the pandemic indefinitely. ⁦@Reuters⁩ ⁦@moderna_tx⁩ 

@cnn @msnbc  https://t.co/St8p6psl8b",['😷'],[],"['Reuters', 'moderna_tx', 'CNN', 'MSNBC']",['https://t.co/St8p6psl8b'],USA,IF and only IF we use face masks   if people don’t  variants will appear and we’ll prolong the pandemic indefinitely  ⁦ Reuters⁩ ⁦ moderna tx⁩  cnn  msnbc  https   t co St8p6psl8b,2021-09-23 12:00:00
17,en,False,1441006451661570056,Moderna chief executive sees pandemic over in a year - newspaper - Yahoo! Voices: * Moderna chief executive sees pandemic over in a year - newspaper  Yahoo! Voices * COVID pandemic will be over… https://t.co/y7VhzBtmcY #HBDShehbazSharif #IndiaBehindThreats #IndianSportsTerrorism,[],"['HBDShehbazSharif', 'IndiaBehindThreats', 'IndianSportsTerrorism']",[],['https://t.co/y7VhzBtmcY'],USA,Moderna chief executive sees pandemic over in a year   newspaper   Yahoo  Voices    Moderna chief executive sees pandemic over in a year   newspaper  Yahoo  Voices   COVID pandemic will be over… https   t co y7VhzBtmcY  HBDShehbazSharif  IndiaBehindThreats  IndianSportsTerrorism,2021-09-23 12:00:00
18,en,False,1441006449547698177,Moderna chief executive sees pandemic over in a year https://t.co/LyscKW4mxD,['xD'],[],[],['https://t.co/LyscKW4mxD'],USA,Moderna chief executive sees pandemic over in a year https   t co LyscKW4m,2021-09-23 12:00:00
19,en,False,1441006304286236680,@jessicaflres Fully Moderna-ized and masked in public!!!,[],[],['jessicaflres'],[],USA, jessicaflres Fully Moderna ized and masked in public   ,2021-09-23 12:00:00
20,en,False,1441006303376289797,Moderna chief executive sees pandemic over in a year - newspaper https://t.co/OFRqRBMJeV,[],[],[],['https://t.co/OFRqRBMJeV'],USA,Moderna chief executive sees pandemic over in a year   newspaper https   t co OFRqRBMJeV,2021-09-23 12:00:00
